	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
39	11	0.3501642892173135	15	145	-2.29761107596229	-2.3964166775058517	-5.234228472587213	-2.9184656253090018	-2.7934848902303315	-3.1280413483189373	1.0785882723213793	28
40	12	0.6056617559343601	3	195	-2.1345254734206596	-2.368300821545607	-5.183887596809414	-2.8173952120016397	-2.6469733950539838	-3.0302164997662606	1.1018949270982872	6
41	3	0.16618034849860697	19	365	-2.450458417491834	-2.584969330726101	-5.261049265642327	-3.0652768960731875	-2.93149801980837	-3.258650385948364	1.0257722625125094	57
42	12	0.9443645612957102	12	101	-2.2631323189526467	-2.3625339683750943	-5.208814133466152	-2.884296031948181	-2.6678433738086875	-3.077323965310152	1.088303014011892	14
43	3	0.9648631773837126	18	261	-2.369631840116801	-2.412698166706962	-5.228410621338398	-2.9682513782672624	-2.7319701097654825	-3.142192423238981	1.0658194902126594	36
44	8	0.8127797906579691	19	164	-2.284082810498526	-2.3933506030982628	-5.232851652522837	-2.9949523998268326	-2.812500747767855	-3.1435476427428624	1.0768787521656142	39
45	13	0.14618329436079053	9	347	-2.3113876075288373	-2.5033861563516093	-5.237006211841397	-2.8765163983401716	-2.7893736967425156	-3.143534014160906	1.065984118266512	38
46	4	0.10852475269098574	13	354	-2.4307149982495164	-2.5482874799059165	-5.248382150957347	-3.018441918177471	-2.938547595300802	-3.2368748285182107	1.0302349238142827	56
47	6	0.3376234130253512	8	341	-2.223164025095171	-2.3807985184155838	-5.232476822805634	-2.8565541628767708	-2.7102917657666685	-3.080657058991966	1.0993468182890624	15
48	3	0.1157769983230333	13	276	-2.5403481962913212	-2.6474199695137886	-5.257359611136651	-3.0729667237673657	-3.0499421037036085	-3.3136073208825465	0.9947196057669068	60
49	3	0.3294428428224735	15	276	-2.337139310374312	-2.4973359485811804	-5.234283178563554	-2.9802134010029495	-2.8247075494526337	-3.1747358775949257	1.0547542446064209	49
50	14	0.16413754630057806	17	111	-2.397630491949662	-2.5308959530788573	-5.259972756342284	-3.02287686800556	-2.8630283377767096	-3.214880881430615	1.0467855665604018	54
51	13	0.10938995135764273	5	169	-2.251015026831266	-2.453982208865646	-5.233419397567274	-2.83608371463701	-2.7952219418081223	-3.1139444579418636	1.08177280682621	22
52	15	0.10246602928020082	18	417	-2.4370691813275336	-2.601675088850753	-5.259142203573314	-3.092401464177133	-2.9547936054356088	-3.2690163086728683	1.0225468316366844	59
53	13	0.2874772486848978	8	192	-2.2186826245016604	-2.4174853360351514	-5.228851171041395	-2.8670832296916506	-2.7501188557715626	-3.0964442434082837	1.0909773335206763	18
54	13	0.15404327287601552	15	147	-2.3429367160688823	-2.523062067682175	-5.236376632984324	-2.949208385792077	-2.8890105911500794	-3.1881188787355073	1.0486693729864935	51
55	6	0.35183288999717616	4	491	-2.2631411906141143	-2.4023813364264313	-5.190112520671753	-2.8207036721620136	-2.730761326553875	-3.081420009285637	1.0740756371987097	16
56	4	0.16362365325910813	2	431	-2.314877360749364	-2.489993855514295	-5.2311833337728055	-2.892835304847212	-2.808034478288406	-3.1473848666344164	1.0627701450437375	41
57	14	0.22949883949495972	18	161	-2.3399699431373633	-2.469761462849209	-5.2475605264863985	-3.000255722899996	-2.8405741666411237	-3.1796243644028186	1.061358846268548	50
58	15	0.20751231812349685	17	469	-2.3988724279148412	-2.494573899394915	-5.249400733507037	-3.0000700414555066	-2.9023878443251623	-3.209060989319492	1.0457159473356925	53
59	13	0.3744794639215287	12	453	-2.336055504847537	-2.432777377549388	-5.218488808625978	-2.8882912585588327	-2.7797483274034804	-3.131072255397043	1.0638934487610419	32
