	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
29	0.6263868343515632	4.281369341473115	0.08484275938836672	9.731414641499585	391	1.7951589401362686	0.29813840105988526	8	1.5*mean	0.596218700271118	0.16566958249789	-48.233334	-3111.7896	-25.552937	-93.53063	-36.90022	-663.2013	1369.0457	60
30	0.6391149375911669	1.5630391978585552	0.052211455117575134	5.545480304812071	270	0.07581429343721797	2.872772732434199	3	mean	0.5283786632668499	0.021508727288719012	-47.194725	-3111.3086	-25.55213	-92.315636	-37.930367	-662.86035	1368.9562	38
31	0.7906509173572109	0.6074370437806934	0.020565306760333465	9.416572177098429	272	0.026253563027785597	2.435559204174159	7	0.5*median	0.5400898166575201	0.012253868242508183	-46.111057	-3111.3901	-25.799479	-93.007675	-35.14927	-662.2915	1369.3315	11
32	0.9307774113455958	0.14311564243136957	0.09902484463052814	2.491425322715057	189	33.43480779508265	0.6288731202774082	10	1.5*median	0.46301800809102245	0.027059710436722697	-51.819237	-3111.955	-25.837109	-93.99373	-41.621372	-665.0453	1368.097	138
33	0.9638772157249449	3.771276534062335	0.1756488560815958	8.852914307650522	138	0.5321627075185553	21.15327914067312	9	mean	0.4297808216669191	0.056281341223114505	-47.617504	-3111.8545	-25.519615	-93.0636	-40.71224	-663.7535	1368.7615	93
34	0.6245433116940858	4.776169717799273	0.04203425048740627	6.115824628428813	269	0.039345011915193094	5.190323752075133	9	1.5*mean	0.35043700905227043	0.06888584334739838	-48.16353	-3111.7432	-25.657589	-93.21168	-39.06989	-663.56915	1368.8059	75
35	0.7122678555123875	4.400544623445179	0.041186489661426684	9.718013559244866	142	0.20858458990540193	0.5042581332117365	6	mean	0.2010703023654876	0.06331261767262326	-47.82063	-3111.6414	-25.663256	-93.3872	-38.68876	-663.44025	1368.8235	68
36	0.7103538066032586	2.303939683756452	0.23553810349797183	2.6110486615124957	381	2.419197759585944	0.10977287744697403	9	median	0.4881960328791667	0.26761296054756645	-41.03225	-3111.746	-25.924665	-92.89449	-40.4533	-662.41016	1369.4569	17
37	0.7442764430867863	4.950579256860828	0.08403975115731051	5.5088674353453015	104	0.369601914633922	4.3139507340227	5	1.5*median	0.2707096660167448	0.05530749970093131	-46.96729	-3111.686	-25.507788	-92.468056	-38.93383	-663.1126	1369.0253	49
38	0.9580386162483581	4.054571063453354	0.051954047406531485	4.165315090662969	144	0.02092395684405262	1.9758726959438362	2	0.5*median	0.3760318190970465	0.01144251923157737	-44.2828	-3111.4248	-25.4637	-92.918625	-37.034286	-662.2248	1369.3859	9
39	0.8227928536223169	4.785502567378612	0.09431794156912397	9.032713688360738	204	0.10971541445729979	0.0514691613022449	8	0.5*median	0.6984125575870113	0.019396489049468845	-49.505444	-3111.7185	-25.379171	-93.30129	-36.38358	-663.25757	1368.9742	62
40	0.7328710515688539	2.045166304817479	0.17137620623373914	9.885294523045166	400	25.80515696412178	35.80044003139101	9	median	0.31504978862026733	0.31240460911275236	-52.132446	-3111.9585	-26.130177	-93.98852	-42.386547	-665.3192	1367.9425	147
41	0.7846865697461791	2.297552741176441	0.02119570008965937	7.772187122510664	132	22.248633204967213	11.011309964426346	6	mean	0.3187083880820829	0.023347379369610177	-51.706287	-3111.9556	-26.082273	-93.91042	-42.223244	-665.17554	1368.0215	141
42	0.825392701085447	1.1958299237353056	0.07066969119116612	9.424221592655694	152	0.08010579144690419	0.6403352353461476	9	mean	0.38868813663048396	0.037423774905503665	-43.78743	-3111.4597	-26.874294	-93.09052	-37.11463	-662.46533	1369.2665	19
43	0.9763687707531821	2.135077621704558	0.21212076899395077	1.5864397790789635	232	3.1345856805210692	0.09702946983555802	10	mean	0.38668065689624587	0.042084886447018355	-50.592506	-3111.4907	-26.753872	-92.84594	-36.613537	-663.6593	1368.6118	84
44	0.7952873434289228	4.92902958430731	0.14412845430182836	8.449302633865692	185	1.9958324375489116	1.8736870790873916	2	1.5*median	0.24079239815785602	0.044694492947587094	-49.159668	-3111.6746	-25.576927	-93.01578	-39.439224	-663.77325	1368.651	94
