	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
29	relu	0.04862167943165918	76	constant	0.0003334556875269476	0.8385063306808642	0.7562417733720325	0.04717943819622385	0.5*median	-5683.612496198658	-220.68737625155757	-2.4752207604892984	-176.93443965572718	-0.6699063446428348	-1216.8758878422152	2235.1524182637772	52
30	tanh	0.0002735509958528733	60	adaptive	0.0009159052703446252	0.6417634116929735	0.12661554694321736	0.02566587466883243	0.5*median	-37.963619032739544	-226.21668869150173	-2.538035774275488	-179.7922196992102	-0.7009703191129137	-89.44230670336798	94.81325932575352	11
31	tanh	0.0013173375116115017	10	constant	0.0001754642879789	0.541693035101193	0.543067423644497	0.004963344341078892	0.5*mean	-38.10643794824166	-226.41124428804412	-2.532160760609343	-180.16434371280295	-1.355790018298913	-89.7139953455994	94.80357387669383	39
32	tanh	0.0468440636408354	47	invscaling	0.00038213826105658414	0.7462534958553619	0.6014034494021708	0.01923207964394111	0.5*mean	-38.122964724862335	-226.48270258750495	-2.6435128523251823	-180.09615674892245	-0.5527391880596703	-89.57961522033492	94.9390931620688	33
33	tanh	0.00015028603024934512	72	constant	0.001464158353083647	0.7826259651721832	0.6006274740094243	0.004004553417764655	0.5*mean	-37.36269298858119	-226.3690784011053	-2.521838136307156	-180.05434512493684	-0.5421007135187469	-89.37001107288985	95.00542808368547	6
34	relu	0.08154061478060108	51	constant	0.0002184540389689516	0.6596885302115923	0.5234044873235562	0.024805445896228833	1.5*mean	-37.73752009495788	-226.31234018944963	-2.56702763608275	-178.3694016321193	-0.7211352421585988	-89.14148495895361	94.58660280084904	2
35	relu	0.01188718545321504	46	adaptive	0.00022899974552548097	0.7776727185420633	0.39607656730628926	0.03688581579676627	1.5*mean	-965.4135414446382	-226.44563152925807	-2.430571483517934	-179.07251645110046	-0.8799328371595637	-274.8484387491348	357.1179795912947	49
36	tanh	0.0007835013472809873	47	invscaling	0.00021377328501576804	0.8500370299552766	0.1944052419778278	0.24070704519060046	mean	-38.106958540173046	-226.4753981531272	-2.4789580177894908	-180.13382346641234	-0.4215238406291841	-89.52333240362624	95.00066137283461	26
37	tanh	0.00013474411515349845	73	adaptive	0.0005205363816894999	0.829139575505048	0.4665956103598239	0.0016956505393895469	mean	-37.84964572987029	-226.35910609393034	-2.4480038736685095	-180.0841330351543	-0.5100408343697844	-89.45018591339864	94.97463832987559	13
38	relu	0.00028033340497966256	14	constant	0.0002475197460794375	0.5305606539628007	0.5462214295256597	0.24255151944085063	mean	-56.28652492180432	-226.50099867753045	-2.705758443266089	-178.62107383540916	-1.4894272302224352	-93.12075662164648	92.76694051341143	45
39	tanh	0.001491782823540018	32	adaptive	0.00029663564299463844	0.8143285203914261	0.26554202213470496	0.0010726037725072883	mean	-38.07613371191988	-226.2919334289031	-2.5138075258359867	-180.08185016199943	-0.7328716736749656	-89.53931930046669	94.87645827750984	31
40	relu	0.03630964859259834	38	invscaling	0.0010782524920764833	0.6955524543625937	0.7092629163275292	0.07221171440789878	1.5*mean	-37.937941216238904	-226.444869891494	-2.5319373408941575	-180.07668911246856	-0.6425187306592594	-89.52679125835098	94.94816714139016	28
41	tanh	0.012248588793628154	21	invscaling	0.00018695672711948266	0.7122822438826034	0.33780919427825024	0.014146756469179556	0.5*mean	-38.15732856825319	-226.33233765496067	-2.561663661585646	-180.19307338591372	-1.1861497914048589	-89.68611061242363	94.80699275497494	37
