	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
45	1.1748529774355074	0.018542809121931868	0.4846634816056355	rbf	910	-3.4410706423504194	-3.4833128242940834	-5.4735864999853945	-4.060903367817841	-3.868417700797818	-4.065458207049111	0.7416770287187275	139
46	0.24267019433062978	0.026184487147821633	0.0077961586290102745	rbf	853	-3.336623311256733	-3.4103537224939258	-5.459774645465195	-3.9853133687497295	-3.807347600489189	-3.9998825296909546	0.7688984269025623	113
47	6.8773069808799265	2.052930647450518	0.00034228173228470786	rbf	544	-4.185586422458448	-3.869671331893418	-6.135025216868038	-4.193483127382866	-4.272203914653977	-4.5311940026513495	0.8136898559113009	173
48	0.2919726632075885	0.06372567022661219	0.0024076088499918585	poly	934	-3.3479243369137466	-3.394570250844169	-5.446460395832733	-3.949673514299843	-3.7746453939278752	-3.982654778363673	0.7662647973563238	110
49	7.001745261557827	0.03388789210745716	0.17809086492916018	poly	633	-2.935264148251971	-2.462822589678825	-5.3459530284117145	-3.0198344959250263	-2.9179510220520073	-3.336365056863909	1.0234905077029888	28
50	3.1908553894847316	0.001764661134230019	0.5298078251041669	rbf	568	-3.4025523017116743	-3.432697316558589	-5.448857211469942	-4.010729530220837	-3.8220662160890475	-4.023380515210018	0.7492670575804733	125
51	1.611087408380421	0.014135779707142039	0.23006263633125337	rbf	591	-3.424477846266099	-3.4632255185626204	-5.462759304053261	-4.040604540458526	-3.849410921531349	-4.048095626174371	0.7445504990166373	133
52	0.10193429389044685	0.003862252461107198	0.00015252490263240043	rbf	593	-3.492823468550361	-3.5457702587984703	-5.5103471367875665	-4.120878490409492	-3.9216517034953764	-4.118294211608253	0.7342320652159585	157
53	0.335151321983418	0.27351783040654054	0.0005514088049759099	rbf	886	-2.9302589207324714	-2.9678507265191074	-5.344554344999265	-3.543645938929248	-3.380793479880652	-3.6334206822121486	0.8873869785545697	78
54	2.770459945625788	0.011758497521089959	0.0008403865136673708	poly	904	-3.4547368244197663	-3.5051818041935987	-5.493243097409388	-4.076844791199006	-3.885914975869305	-4.083184298618212	0.742462699734879	142
55	0.1520784616778988	0.0033012511364147287	0.2500252312155922	rbf	533	-3.5019823125074283	-3.552009849544785	-5.511614118555006	-4.129056789718065	-3.931329317023263	-4.125198477469709	0.7316682389231227	159
56	0.6016254608708175	0.444000018163497	0.00011282820257781227	rbf	737	-3.2260923454439983	-3.249729634963137	-5.4105568615895345	-3.8292885096853784	-3.641887039078617	-3.871510878152133	0.8032869190705617	98
57	3.195012641213954	5.622804590177462	0.2390139027657896	rbf	775	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	178
58	3.5534920835433366	0.18205703650784696	0.0033045359825427884	poly	533	-3.1627731989283148	-3.173242745948865	-5.401284500923638	-3.573911142810648	-3.435981717943066	-3.7494386613109065	0.8406947056541679	87
59	0.4266380714545808	0.0014193478350830457	0.06994325257016473	poly	581	-3.0163032472371456	-2.4466266100649294	-5.353762044018953	-2.947058054929072	-2.8523863093819997	-3.32322725312642	1.034301409629755	20
60	0.5577822704854759	0.5236898500418199	0.00040782312296738164	rbf	677	-2.937701867962239	-2.923430829152978	-5.334870722522198	-3.5036739754702806	-3.3268742531548208	-3.605310329652503	0.89329686679092	74
61	1.844620049279079	0.013289876642006941	0.002275188642326579	poly	629	-3.3399411968819743	-3.405025526796116	-5.45275842946693	-3.935955901916655	-3.7625746115693066	-3.9792511333261955	0.7692202787179494	109
62	0.2552804814999663	0.01460296505633498	0.054469069211980504	poly	543	-2.931608265859958	-2.417116052367149	-5.3583404968483155	-2.926163189256278	-2.752145082519679	-3.277074617370276	1.0572826719063408	8
63	1.0881992803010851	0.8596649353273025	0.000197180677635327	rbf	584	-3.0075449224376487	-2.981548595159421	-5.348618921468355	-3.564037108132694	-3.396880092256479	-3.659725927890919	0.8735981210827883	81
64	1.4641583530836466	0.3252601077470603	0.3766262001850868	rbf	737	-3.375017647395493	-3.391503324803203	-5.4317202200083115	-3.9689031228086535	-3.7845711868819567	-3.9903431003795236	0.755989979287341	112
65	2.83120582546896	7.6178422551754865	0.007741576063203932	poly	579	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	178
66	0.5125388627695291	0.26269645567099986	0.06529113366073787	rbf	924	-3.4211280534376645	-3.452898793059467	-5.460596559908729	-4.031725511262624	-3.8416352931255293	-4.041596842158803	0.7463496732805956	131
67	2.417608787061243	0.05334800388259037	0.0007935741257486481	poly	631	-3.4901400607979562	-3.5394384116462976	-5.505504024821711	-4.115594339321866	-3.918072231817853	-4.113749813681137	0.734029374472775	152
68	0.7013471708643154	0.3389452127747052	3.3159971846085368	poly	678	-2.9021556094820293	-2.624313642172083	-5.346671891250856	-3.158682946369363	-3.0714444981918603	-3.420653717493238	0.9801142354834614	42
69	0.27750624948811686	0.00646233982538273	4.388010202537054	rbf	767	-3.49239479583268	-3.541604571106764	-5.505841675948865	-4.118801140908101	-3.9218353043717418	-4.11609549763363	0.7332368203278079	153
70	0.6718896332030712	5.302549454616128	0.0029707185470082068	rbf	947	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	178
