	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
29	relu	0.0006528082898505001	103	invscaling	0.00017428694468009463	0.9098210544297072	0.1213074866659362	-467.8891226402872	-3111.7245761270233	-801.3418308969051	-93.70863650988063	-41.86355817539666	-903.3055448698985	1137.9479889519844	46
30	relu	0.000936260515781424	111	constant	0.00023181472837610013	0.8132098721834415	0.4687145446591814	-46.20499294709604	-3111.885931230507	-1259.2729719704162	-494.7793842619032	-41.43575476915118	-990.7158070358148	1149.8410218468946	49
31	relu	0.00402694114944287	63	constant	0.0029797245498353847	0.5720910847786262	0.23475575327189876	-87.14837276493317	-3110.4648288319286	-5761.965608347186	-93.95845692639648	-31.537141834571592	-1817.0148817410034	2297.1696211927188	52
32	tanh	0.0015105835674585663	72	adaptive	0.009038653563119031	0.59309651384236	0.43320091049979415	-52.344140213387945	-3111.5212178120405	-24.422212799317357	-93.07662307168327	-34.89686668141209	-663.2522121155682	1224.3581344584477	11
33	relu	0.0012836828733865106	75	constant	0.0007982835976431702	0.624342733794857	0.45126482378289645	-72.11524773857701	-3110.4816391342897	-22.857096391300672	-93.39701736737291	-38.31719162266905	-667.433638450842	1221.7751007899694	32
34	tanh	0.00014298112869190447	89	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	-53.47161001971139	-3112.0448035474246	-25.82739755400872	-93.92753744465297	-43.369279355963165	-665.7281255843521	1223.3628012606105	28
35	relu	0.06899661450889218	97	adaptive	0.00221176222727623	0.8204219540516277	0.5595152005770214	-42.67889084684415	-3111.8271602818713	-134.10382093790196	-94.5099954380672	-34.2310457672724	-683.4701826543915	1214.7197247781799	39
36	tanh	0.0002755056400161253	25	constant	0.0007067259944100958	0.7671367982339925	0.12774000170682603	-49.45513403989079	-3111.498246863478	-25.58707571714391	-93.2061570256464	-34.55271599895999	-662.8598659290238	1224.5396782100884	6
37	relu	0.00041984198557241237	57	adaptive	0.00034290665670251965	0.5832031166897227	0.6672498838257656	-52.717130921890856	-3111.954890261935	-93.20998804842003	-94.05165033757142	-38.37108341456332	-678.0609485968761	1217.1454506099872	35
38	relu	0.0005485054319842828	90	constant	0.00015268968682166715	0.903024493346724	0.42359315949150933	-192.68588590770418	-3112.059511533432	-63.47846537246227	-96.29962645692248	-40.15452796233267	-700.9356034465708	1206.6817453493163	42
39	tanh	0.00010751043071795431	92	invscaling	0.003195012641213955	0.9218697114534495	0.5729792428718196	-52.68841359397991	-3109.3607609582564	-55.68312719185234	-93.01154258587177	-43.04472040777121	-670.7577129475463	1219.4199825313585	33
40	relu	0.022712354845737803	106	invscaling	0.004513907528953857	0.7613174167753486	0.3025609681049053	-55.54875021282938	-3111.9289699229394	-1243.4802149594514	-130.7758503981119	-28.663475166307766	-914.079452131928	1189.424088901716	47
41	relu	0.00013003690662422094	38	invscaling	0.0005577822704854758	0.805895842623352	0.1854660584392249	-50.36661514464955	-3112.1303120454845	-28.70922243871807	-92.99241001759309	-176.9331175652083	-692.2263354423307	1211.014658337307	40
42	relu	0.00019862894801325013	87	constant	0.0004178199117374892	0.8393239386424287	0.479842160213412	-430.4317010296881	-3110.6946777022545	-656152.7304086445	-93.4665630221231	-36.12767029033621	-131964.69020413776	262096.50133238453	57
43	tanh	0.0007470175147142071	93	adaptive	0.00045271220028535343	0.5158730013410582	0.6274629630920423	-48.918536325091296	-3112.043605752115	-25.83530369045289	-94.02788319937392	-42.193000758173085	-664.6036659450413	1223.9286922373856	19
44	relu	0.005602502696767531	68	adaptive	0.0026937929467599365	0.609461472878969	0.6081900051310646	-134.19087712727503	-3114.104297381764	-499.2156796024591	-86.05485861205165	-38.86991619609238	-774.4871257839284	1181.0701782948615	43
45	relu	0.00014381534509596758	48	invscaling	0.0005517594735132457	0.6626592853828415	0.7135725095427005	-222.36477884048836	-3111.088174366757	-643.6082383862833	-159.2866612504825	-44.455562934830226	-836.1606831557683	1155.3417144137684	45
46	tanh	0.0074540271129862655	32	adaptive	0.0007303971788184183	0.5809628749399609	0.5319353399543206	-51.83384280318445	-3111.6626453207555	-24.35982419491291	-93.60732992670783	-33.4309568455702	-662.9789198182261	1224.5733368854658	9
47	tanh	0.08039695561216254	66	adaptive	0.00020896181071071446	0.6341059621403841	0.7297030452029273	-50.1969375207665	-3112.000480060326	-26.07720809397005	-94.01759317960664	-42.41196701827003	-664.9408371745878	1223.7363473620921	22
48	relu	0.06100431813081222	108	adaptive	0.00837119438900439	0.738592423741203	0.13021895491826502	-191.71261731749206	-3112.442084594681	-1362.7869811565965	-111.78264734403336	-37.36893209165362	-963.2186525008914	1179.506570419128	48
49	tanh	0.014183563564750916	88	constant	0.0011153624762902383	0.5416618114152307	0.17424145261439103	-46.29605331105858	-3112.0147742984295	-26.063753289250307	-93.49923255256239	-40.44579221863752	-663.6639211339876	1224.3845447212097	14
50	tanh	0.033729438603352195	92	invscaling	0.0024211277565102276	0.5885622164368087	0.1475387950532455	-44.238062621065126	-3111.4470649313716	-24.791012575569916	-93.99841596534205	-40.14401413169845	-662.9237140450094	1224.4821296546133	8
51	relu	0.0033500788393802	51	constant	0.00026889065088923507	0.8433824327514877	0.7566943747198444	-51.80380204108008	-3111.7558389610817	-16163.084840103895	-94.60821638102563	-82.27850959767427	-3900.7062414169513	6242.903076970094	55
52	relu	0.012460155701396131	99	constant	0.0001058220977988497	0.5296851886455085	0.6973384773533022	-51.99977497027125	-3112.0017494188064	-2298877.321477546	-118.2817010106611	-43.83402152015876	-460440.68774489325	919219.0715732211	60
53	tanh	0.047336954414223927	61	invscaling	0.0007398131037706061	0.891669017639126	0.6252166629459028	-53.3495331743616	-3112.1231957705363	-26.739015185076386	-94.37091264474914	-43.487738432028905	-666.0140790413504	1223.257554108443	30
54	relu	0.0412776269768754	31	invscaling	0.00018695672711948266	0.7122822438826034	0.33780919427825024	-1015.9757685695487	-3523.190367692842	-14130.238143116894	-623.3164463264142	-44.235361701708136	-3867.391217481481	5267.1740644247	54
55	tanh	0.03152246986457187	28	adaptive	0.0003304777203964292	0.5248076599014337	0.3783764648217113	-50.952134713228496	-3111.666747486115	-24.418458072837737	-94.09916227227191	-43.20986610370276	-664.8692737296312	1223.6117290756504	21
56	tanh	0.00269080285730632	66	constant	0.0011505495356132988	0.8079082350598366	0.17932796869489476	-39.86158720588501	-3111.302999587691	-25.42809438588088	-93.69727166243928	-34.675944842213546	-660.9931795368218	1225.3867611704259	1
57	relu	0.0037403243316962683	41	constant	0.00012703219146086256	0.8721245877637953	0.10615937749019566	-40.41060955185698	-3111.7760859486825	-202.95245685461808	-94.27839663270402	-34.230668360850295	-696.7296434697424	1209.0386511994125	41
58	tanh	0.02121312946688234	72	invscaling	0.000789737782602266	0.7512182024777313	0.1288205218329911	-49.886596276606056	-3110.3971661888204	-25.7532184409221	-92.95764664073333	-39.69437941647662	-663.7378013927117	1223.535847862388	16
59	relu	0.01668035498091473	88	invscaling	0.0065976014746371905	0.8371580490465409	0.6898308789906419	-22868.295471020258	-3112.05364546852	-27.256227268056723	-94.0085442462062	-74.88583533423063	-5235.299944667454	8895.135485034887	56
