	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
20	7.746577286361522	0.0052114179718890895	poly	7	0.2903265795237295	20	0.020370022829558295	1.5*mean	-2.277549880441085	-2.4269629725286492	-5.286266804160507	-2.7729333487105974	-2.705928262807371	-3.0939282537296418	1.1109677201800208	34
21	0.1038563391669398	0.0064281090913621995	rbf	10	0.1410867740146216	1	0.019169201993877328	mean	-2.3381211297839877	-2.2734095111260824	-5.237415219822237	-2.743859589219443	-2.666943860274542	-3.0519498620452588	1.107707958323285	33
22	0.1575964656596198	0.06820748294442736	poly	19	0.38935508798183555	11	0.0012489694579792974	1.5*mean	-2.1802135933048192	-2.3016953018234765	-5.3005634926077265	-2.683309440393429	-2.5684211570440305	-3.0068405970346963	1.1609126433120835	22
23	0.3042326590786119	0.00011295345893002526	poly	17	0.17494534618645616	17	0.08146221760841335	1.5*mean	-2.9363590540197	-3.564408733952066	-5.498123589606748	-3.245254924310912	-3.942722693900398	-3.8373737991579646	0.8951123410867154	48
24	0.5025775698361402	0.0008673885528817069	rbf	18	0.726353882998655	14	0.00486078621471254	1.5*median	-2.104326698007444	-2.344969438419191	-5.236689172738129	-2.6999727796470476	-2.6319688967672494	-3.0035853971158124	1.1366154236581638	21
25	0.7957028050207349	0.2937622409828279	rbf	3	0.2107651989885687	5	0.0028330177630692542	1.5*median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
26	0.23057306789189225	0.04027824288139338	rbf	15	0.20751231812349685	17	0.05091299124218955	0.5*mean	-2.3470961243682873	-2.4421635816913705	-5.243133913332053	-2.901956765895652	-3.284369131498815	-3.2437439033572355	1.0547547127299886	40
27	0.24267019433062978	0.005923182176399478	rbf	4	0.8292953021017255	3	0.09064225509485048	1.5*mean	-2.1509715092426913	-2.1132253155272283	-5.248698110940553	-2.567580932483893	-2.5247563280893863	-2.9210464392567506	1.1786039527474377	1
28	0.2919726632075885	0.018004995400040177	rbf	8	0.4468156011104356	6	0.021564832482610093	1.5*median	-3.5135101674616114	-3.564408733952066	-5.60036696199442	-3.313099718698078	-3.4504058156478163	-3.8883582795507983	0.8601340496069011	49
29	1.055696924196978	0.001625284716196992	rbf	17	0.551146116904143	3	0.046295638906668934	mean	-2.152277951937054	-2.121543128922012	-5.253812798145671	-2.658273809124703	-2.5493884588391693	-2.947059229393722	1.1726726055295171	4
30	0.5941697224201795	0.00010490611333429884	rbf	17	0.1088098348875673	9	0.01126805433709984	1.5*mean	-2.2233011323409952	-2.208402554627542	-5.269930748536701	-2.7176088140537975	-2.6834373426640257	-3.020536118444612	1.1454537342739974	26
31	1.6538374478966806	0.0005514088049759099	rbf	5	0.5263515883538101	18	0.07678903264233254	0.5*median	-2.1253423557309055	-2.222754150271142	-5.2395383504061765	-2.7272594011749085	-2.599185092888464	-2.9828158700943193	1.1504983860002878	12
32	4.175552550644464	0.00028521297397447157	poly	9	0.4781859014798342	2	0.00923087258373513	0.5*median	-2.7783271415869275	-2.773100453922404	-5.635004540124475	-3.179966057442014	-3.2386286250590284	-3.52100536362697	1.0747994831160153	44
33	0.7755766579451162	0.0003338539491559867	poly	14	0.6559851292870285	8	0.0039766680962102065	0.5*median	-3.0288660904647884	-2.926088511878912	-5.721229166051604	-3.1780402274858703	-3.345555199718949	-3.6399558391200246	1.0502165178630405	46
34	3.5534920835433366	0.06687431343290824	poly	20	0.1947030754798322	16	0.03611945399305185	0.5*median	-2.1546792611548007	-2.240190697451376	-5.291619759698948	-2.730121959611517	-2.6707112384150387	-3.017464583266336	1.159580841308672	25
35	9.365441590055559	0.0073478750822234965	rbf	11	0.13246293367538706	13	0.0017623649174126847	0.5*median	-3.486012375289613	-3.4971867994507475	-5.497422817017483	-4.135282241754711	-3.942722693900398	-4.11172538548259	0.7373531924184806	52
36	0.36455283076677586	0.002275188642326579	poly	4	0.15977499225472247	17	0.022675404413848688	0.5*median	-2.1959371153757603	-2.2219226793398117	-5.314937233827828	-2.7624294343438156	-2.7637767845539765	-3.051800649488238	1.1584196545866499	32
37	1.302072755178872	0.0043606928371733855	poly	11	0.566915744799306	17	0.030336509012557463	0.5*mean	-2.1910732272223075	-2.5197253412726632	-5.315205845238685	-2.8486014307827188	-2.8375223441571835	-3.1424256377347115	1.1129330241616595	37
38	9.341988121929102	0.0003789398274681275	poly	12	0.5402837548513824	16	0.007569020331661898	median	-2.5187803145631946	-2.6197481983733892	-5.492100394040733	-3.019320938590837	-3.089337635903196	-3.34785749629427	1.094537209553551	42
39	1.336416053078736	0.13202361296723228	rbf	5	0.2702586129651408	6	0.0014043313905502046	0.5*median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
40	0.7013471708643154	0.14543263753123936	rbf	7	0.397344767384866	13	0.16918360783894457	1.5*median	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
41	4.71170971230597	0.011701589284496704	rbf	19	0.19704812264667843	3	0.2023427366297792	0.5*mean	-2.0454563126933487	-2.2317753147503145	-5.264379786952419	-2.6300789268460014	-2.519505725165806	-2.938239213281578	1.1813029257725631	2
42	2.3863419466081424	0.002109275442945657	poly	13	0.18717999116306772	3	0.002342331166655637	0.5*mean	-2.5676037159984895	-2.5663596057764235	-5.465821311551707	-2.850251387082569	-2.8872980254198097	-3.2674668091658	1.107494396422986	41
43	9.57918405689594	0.28843254801895035	rbf	20	0.116926396174984	17	0.0034045173478524236	0.5*mean	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	53
44	6.574389521252349	0.001515508351270786	rbf	18	0.9981787071696863	11	0.0014568286393801312	0.5*mean	-2.118314559290318	-2.2380986753754333	-5.243931381406896	-2.6319126569050764	-2.5972008420766284	-2.96589162301087	1.1562879776381878	5
