	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
39	tanh	0.011913148624370503	72	invscaling	0.00013671782122469321	0.7868566332664956	0.7739124281930988	0.24374070586393626	mean	-3.363957293872881	-3.456247132224905	-5.546352506613695	-4.008151331344487	-3.7969678418532817	-4.03433522118185	0.7907992848147972	39
40	relu	0.05330686565467342	84	adaptive	0.00010263226366395223	0.9496437356287962	0.13344124888015507	0.009219549081410108	0.5*median	-2.619641461282108	-2.6869493725897753	-5.62173792420119	-3.727446135138323	-3.3167685490065035	-3.5945086884435797	1.0934807128143733	22
41	tanh	0.047336954414223927	61	invscaling	0.0007398131037706061	0.891669017639126	0.6252166629459028	0.0018652319189402184	0.5*median	-3.1207802338201582	-3.025416297105929	-5.524793077890889	-3.4990590280277574	-3.3588413672647914	-3.705778000821905	0.9248814029162472	30
42	relu	0.04716232342647426	42	constant	0.0008779638605110252	0.6528773391788751	0.4251596233473076	0.00262552752722458	mean	-6.449124293261507	-2.675569882046076	-5.482559035132269	-68.69475234071238	-2.76309230844119	-17.213019571918686	25.78360640507009	55
43	relu	0.0006007769744018701	36	adaptive	0.0002463477832481475	0.7144822820268623	0.17249100625438477	0.0033506214631468852	1.5*mean	-3.7834281356727013	-3.128198758047028	-9.050888888841008	-3.7042844467386593	-4.154163601946636	-4.764192766249207	2.1683948224423637	51
44	relu	0.00021876458081352985	68	constant	0.0002351855601672553	0.9084580734881889	0.6239275979725258	0.010888426117719367	0.5*mean	-2.872754367277651	-2.977994338720659	-5.427969111168659	-466.773486787783	-3.5953388435942055	-96.32950868970883	185.2242571716941	58
45	tanh	0.008706348062607335	105	invscaling	0.0009011015652749293	0.7019336561019579	0.4907838705209153	0.0012647027632077565	mean	-3.659784881075892	-3.445425934322039	-5.720019131836214	-4.04081790607721	-4.081433086345103	-4.189496187931292	0.8013136661951411	45
46	tanh	0.010238426711926747	88	invscaling	0.0065976014746371905	0.8371580490465409	0.6898308789906419	0.14501146062727965	median	-2.8042014819513126	-2.6415766552920186	-5.605279802445966	-3.6723539277614727	-3.1480103712557046	-3.5742844477412943	1.0751038035764287	21
47	relu	0.0025112224525998122	100	constant	0.0003892443442130409	0.7747775169509024	0.40916090664065385	0.0014190310474905962	0.5*mean	-5.598849562748686	-2.9707421887773595	-6.026248509137497	-3.819036675628004	-3.7090446695836996	-4.42478432117505	1.1778428348919139	49
48	tanh	0.026507141330045267	112	invscaling	0.00020972564092156993	0.8303183049051535	0.6655390664974379	0.05385957146049281	0.5*median	-3.865860882607802	-3.4240503325170564	-5.917203021477572	-3.932200809375043	-3.911396840126594	-4.210142377220814	0.873730725626618	47
49	tanh	0.0005867233247550905	117	constant	0.00019699725906767917	0.7427327944777956	0.3796141756700009	0.007647071337445133	0.5*median	-2.7721823233780043	-2.838319668991193	-5.81697068585119	-3.282752506865322	-3.0951386242472743	-3.5610727618665963	1.1426593880575888	19
50	tanh	0.0006662338334990561	107	adaptive	0.0008780138723961913	0.6241480324286659	0.4148485262509216	0.1999568506344535	1.5*median	-2.6213579243951144	-3.0525091844862526	-5.279468679001786	-3.246634452496918	-2.8906743808916393	-3.4181289242543422	0.9529665421288774	14
51	tanh	0.008174303041176176	50	adaptive	0.009947552164625152	0.5285511425608787	0.5074745836833274	0.24145296426468324	0.5*median	-2.7405908153245364	-2.2324255085415587	-5.419227141071093	-2.9092066138581076	-2.8514348200221105	-3.230576979763481	1.1201437424555312	5
52	relu	0.00019627771414914855	22	adaptive	0.009449830114720175	0.716896991248752	0.6464070409568791	0.06424299837872609	1.5*median	-3.4371537797284732	-2.4220776812023788	-5.652925451509123	-5.664365455312359	-3.0559842063105416	-4.046501314812575	1.3556742666478556	40
53	tanh	0.0010029016071014464	115	adaptive	0.0004659895906165216	0.8455556333716383	0.10114242140976831	0.020094568030573974	0.5*mean	-2.7230226607473513	-2.7093565258515486	-5.284371261885625	-3.0868634990381403	-2.8848534036568605	-3.337693470235905	0.9828694465256513	10
54	relu	0.0007736102690418562	80	invscaling	0.009370334145594838	0.5390080797786855	0.5344537182044159	0.001515841315057875	0.5*median	-3.7538065358563104	-3.0313157770789987	-5.509530374815265	-3.497344295684191	-3.6310371905009444	-3.8846068347871414	0.8485117202488717	35
55	tanh	0.000471156533478137	26	constant	0.008174289743067215	0.7969068652220103	0.7247666202058352	0.09895625795481432	0.5*mean	-2.426472628857856	-2.5855815378801346	-5.314424466319909	-2.925275869893736	-2.799569372965865	-3.2102647751835	1.066014696986285	2
56	relu	0.049427002808758676	74	adaptive	0.00205782936746913	0.5484160095414514	0.5524492135486073	0.19158773556903083	median	-2.893012553377666	-2.5455882650413155	-5.503579729768316	-3.2695444528724114	-3.0330496924816432	-3.4489549387082703	1.053735413773724	15
57	tanh	0.06781441160044652	69	adaptive	0.00834748514690375	0.5219116417023573	0.7412127334915862	0.004697069767465981	1.5*median	-2.4824516096198512	-2.303205623151153	-5.210275794356654	-3.037042778259175	-3.0451683774776046	-3.2156288365728876	1.0401568344291574	3
58	relu	0.002375979683933091	42	constant	0.0016224742215877365	0.6587119474934167	0.3619103532869371	0.1744285592728733	1.5*mean	-2.8025766417491496	-2.7791195010184504	-5.477071884597306	-3.253476994270524	-3.1907299023755225	-3.5005949848021904	1.0071048691089624	17
59	tanh	0.0009399763460151647	20	invscaling	0.004529320389122328	0.7245252844211965	0.5330757197480435	0.004226065095482245	1.5*median	-2.8217265445886612	-2.730063976285892	-6.255746630628634	-3.3805534511648307	-3.1869578363948596	-3.675009687812575	1.3119540215443026	26
