	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
56	tanh	0.01713785215398509	94	constant	0.0005417536934052397	0.5400081368273949	0.37669391836544364	16	0.14065873841063256	8	-51.17967616447946	-3111.01836145376	-23.24231891210347	-93.37531155264286	-37.0748801939413	-663.1781096553855	1224.1456024396482	49
57	tanh	0.0008829441140093175	103	adaptive	0.0025225215000964133	0.9232508396639826	0.6110159830384618	8	0.12517411423798178	19	-49.99439132598725	-3110.987518867973	-23.905205472626612	-93.49469067751396	-39.602100134471854	-663.5967812957145	1223.9134269510105	68
58	relu	0.07593361480302722	116	adaptive	0.000256158019671427	0.6142158296184287	0.7726144943950551	6	0.29278194494894083	5	-44.33373281962834	-3112.140358972963	-25.68345439380232	-93.82461518565827	-36.39363100767751	-662.4751584759459	1225.0553955187247	26
59	tanh	0.005632897388145838	40	adaptive	0.001073733520678275	0.8692998505423388	0.1792473745426843	3	0.4483863090922514	18	-48.3358332005206	-3111.244502762443	-24.32293201920707	-94.05992863540415	-38.622639612965564	-663.317167246108	1224.1863396077645	55
60	tanh	0.0030556823044670975	31	constant	0.0067293007422524935	0.9407833614828787	0.14759322505510658	14	0.7992151437468702	2	-43.59950098456674	-3110.9816982255993	-23.888042832924132	-92.14216146876788	-34.510820899197334	-661.0244448822111	1225.201475088177	2
61	relu	0.0619867389500712	25	adaptive	0.0007008973295480156	0.7513971344957787	0.19875644983332597	19	0.5053225358060224	18	-47.958204435435185	-3111.3849371847714	-24.727628669317195	-93.47937059368421	-43.792649129639095	-664.2685580025693	1223.7663400684692	87
62	tanh	0.008252083066985176	22	adaptive	0.0053385683413508	0.6690752155024366	0.18187679573896942	20	0.2103824164956055	17	-47.74454080402819	-3111.2017628019103	-24.52603844102345	-92.40667570790023	-38.67686377426409	-662.9111763058252	1224.3558495593381	39
63	tanh	0.08780880288570152	63	adaptive	0.0011387946783560912	0.6952910941167925	0.426894904289969	15	0.3849223911811894	17	-47.71567340732154	-3111.258459099476	-23.960601324173208	-92.88496614314386	-38.51386130033869	-662.8667122548907	1224.4124826701343	37
64	relu	0.09851659034788966	102	adaptive	0.0002873491407528337	0.5136137534435273	0.3578855716369429	15	0.23476893514355593	1	-53.22038335748259	-3110.6339232418	-25.532523538146663	-93.53277735907535	-43.731241463749	-665.3301697920507	1222.854639859414	98
65	relu	0.004803589853774019	68	adaptive	0.0009498836223243125	0.7026452934981507	0.6940165171409828	20	0.8114658031138807	18	-47.445885470384745	-3111.3807548148043	-26.05902134459183	-92.89235212858219	-41.397920595593	-663.8351868707912	1223.9752764127365	75
66	relu	0.0006172621311658881	86	adaptive	0.0029852671531269965	0.8230770450040121	0.6776024602785475	16	0.24449412095265197	17	-48.171308703944725	-3111.2467495211235	-24.780255392168463	-93.49472069721611	-39.551974299066515	-663.4490017227038	1224.1138512802027	64
67	tanh	0.06363064837049519	85	adaptive	0.00010298018227716016	0.5126222313032853	0.4017478250194998	10	0.46233297824672903	6	-53.13273432915698	-3111.0824277273273	-24.64786090787443	-92.63959519483811	-43.56150196024211	-665.0128240238877	1223.2361910185743	95
68	relu	0.0001441031428169815	104	constant	0.00022780323152002066	0.8007407853207478	0.782728714854833	4	0.1615752511861888	11	-48.53682847489844	-3112.0161581715283	-25.150147555003084	-93.46599859319194	-37.72119318712591	-663.3780651963496	1224.5357827970026	58
69	relu	0.0014135401774426084	51	invscaling	0.0008251180194921968	0.9226735176133924	0.15018163765705433	11	0.1035535679909495	8	-46.264814501085674	-3110.843884317903	-24.12227941171157	-93.1866694015221	-36.59474507374266	-662.2024785411929	1224.5435319182084	18
70	relu	0.014752789553537983	51	adaptive	0.0026992899385840105	0.8745532343450104	0.741252057044649	3	0.6490868833233737	4	-42.36061457958373	-3111.1079134605784	-24.58647936989691	-93.5523241804795	-33.31689790942642	-660.984845899993	1225.295767260386	1
71	relu	0.0036057456545557504	84	constant	0.00011716652371947383	0.7696118111279122	0.1839995608215928	16	0.11236822682476005	5	-43.89397931509201	-3110.9321862790725	-25.5920234804552	-92.98994191308128	-43.087142667235796	-663.2990547309873	1224.022561216757	53
72	tanh	0.0018124970453934279	40	invscaling	0.00033654858997170527	0.7603679651910885	0.16828495551937578	19	0.1458925808257148	8	-45.43519882858136	-3111.930779394548	-25.507820131002838	-93.2666706562884	-43.75713510225533	-663.9795208225353	1224.181156552627	81
73	relu	0.0009026992289887299	84	invscaling	0.007861904458359204	0.8140717715588226	0.43845526545312996	19	0.35326723791034326	17	-49.211609784993385	-3111.2841612882758	-25.241581852893106	-93.985145053102	-38.7326302741803	-663.6910256506889	1224.014100308297	70
74	tanh	0.08304669415339724	110	invscaling	0.0009628722797128837	0.7660906933766176	0.4673241333559526	3	0.8953983551342535	12	-48.20257586050231	-3111.4915625576473	-25.337530999896888	-94.21716979224735	-40.48831888099635	-663.947431618258	1223.9877811441788	80
75	relu	0.000690931066895951	41	invscaling	0.001866206405626291	0.6016698211123133	0.681017995428332	20	0.18729349449360055	15	-53.199698100227565	-3111.2366052872358	-24.127921764080707	-93.13989921100962	-38.56522748253525	-664.0538703690179	1223.8080063801926	83
76	tanh	0.0006442328373779374	34	invscaling	0.00019273737819445157	0.6171399186760156	0.372779781009857	12	0.9639421086747151	15	-46.11772986334145	-3112.0673536578474	-24.184097166862937	-92.61255777085022	-37.84206307390229	-662.564760306561	1224.9672427343173	29
77	tanh	0.0005506606731085639	30	invscaling	0.003019773048812604	0.824655678284644	0.532433204602188	20	0.18404228480760895	9	-46.960147448966545	-3111.022921466578	-24.614188256308264	-93.01745994880716	-35.62770432648245	-662.2484842894285	1224.6085936375805	20
78	relu	0.03687047748920649	92	constant	0.00018242476662422698	0.5707302165037897	0.3457852799693989	15	0.25703962525238305	4	-43.415031324604264	-3110.8512276539623	-23.647998151657767	-93.7017322146642	-40.2858569296653	-662.3803692549108	1224.4593623616006	25
79	relu	0.0005515476580420886	81	invscaling	0.0024762134439380453	0.5728226625035211	0.20681965121012852	6	0.11429813601570767	14	-47.87777978499192	-3112.0389451665214	-23.55327910221194	-93.55781558622243	-38.84238198561913	-663.1740403251134	1224.6547425031	48
80	tanh	0.007725666753701968	105	constant	0.00022103221868445132	0.9406233731832925	0.6816754164737924	20	0.26144221686376934	8	-46.80504360764552	-3111.0051005575974	-24.166043354020065	-92.44037219695697	-37.102721640470634	-662.3038562713381	1224.5666408701084	23
81	tanh	0.009270546381032769	103	adaptive	0.00015898652617717397	0.5154180025727311	0.5902253501553306	11	0.42694647588917606	16	-53.17900360550803	-3111.5264353124503	-25.812410308556974	-93.544458078934	-37.7227877624073	-664.3570190135713	1223.7984617893153	88
82	relu	0.0004358468681122169	23	invscaling	0.002901801940852934	0.8645717125536633	0.43039309450925034	12	0.7132830580975166	8	-47.39669566453332	-3111.0712221848216	-26.072537725855135	-94.50809265704949	-35.59470909459415	-662.9286514653706	1224.2971168564166	40
83	relu	0.00024871899494577875	94	adaptive	0.006698185545270135	0.6280946683974913	0.3371009829462882	7	0.14263220228344908	5	-45.93917407529886	-3110.9677120650085	-24.21426876628521	-92.92011058964187	-35.14876303956884	-661.8380057071606	1224.7888550718155	11
84	tanh	0.0002696338197665829	41	adaptive	0.002183545132851171	0.571395952793855	0.5436086388948186	16	0.20020264604823193	15	-47.99056885658391	-3112.038354821636	-24.325713853503377	-92.97261220916126	-38.481715884922146	-663.1617931251614	1224.6537867257148	47
85	relu	0.05943070659224353	28	adaptive	0.004651301449268499	0.561859331571391	0.32537478037390555	9	0.7331024470488547	7	-47.38567277245402	-3111.964755081674	-24.64394302112649	-93.64424516501319	-35.542351278003906	-662.6361934636544	1224.8898923355648	30
86	relu	0.001030625754606918	67	adaptive	0.005071972437476711	0.7003658454446149	0.5595645400087615	7	0.3328163697708439	3	-43.59544725393152	-3111.920897915829	-24.735211647342354	-92.6232121602708	-36.08657446456285	-661.7922686883874	1225.2836679243405	10
87	relu	0.0017073554978119286	60	adaptive	0.0004414381735668642	0.8534102272284348	0.24112974633594764	10	0.8750952191376902	8	-46.992481431193035	-3111.984965436358	-23.635184434091837	-93.72380001967926	-35.116793775567366	-662.290645019378	1225.0787883112264	22
88	relu	0.01448607697212062	80	invscaling	0.0010989382034168442	0.7410519004854577	0.7322803565872698	13	0.21189430527577013	20	-51.8014696641078	-3111.2798115129945	-25.556808550609848	-94.50108399644722	-43.720035447877386	-665.3718418344072	1223.1632814221084	99
89	tanh	0.01105925074775113	104	adaptive	0.0005788465889632766	0.8758722475654241	0.6698155704849358	12	0.2461818610804286	8	-44.701044845729704	-3110.996667240542	-24.68978611505163	-93.28493541638447	-36.47701883302561	-662.0298904901467	1224.7059079711398	15
90	tanh	0.008924501440232066	95	adaptive	0.004932604122085244	0.9102336490039	0.49873484267017343	13	0.2289074310904665	16	-48.15454014414306	-3111.2201988391485	-24.11505236362542	-93.37267009322397	-38.93283509454407	-663.159059306937	1224.2488352141677	46
91	tanh	0.014324967293491643	55	constant	0.000962176117335507	0.8939750516181104	0.3224102159269162	6	0.1968444984890718	14	-49.04732377777991	-3112.029183553277	-24.894573180566155	-93.19492386860198	-37.783649052345766	-663.3899306865143	1224.5352519482792	59
92	tanh	0.045229443050826476	109	adaptive	0.0024651052507187092	0.5624661894779406	0.45520049964222586	10	0.1954423732666108	16	-49.15109563379828	-3111.0918944970226	-24.14035921924895	-94.01396214013515	-38.88784758864562	-663.45703181577	1224.039712394064	65
93	relu	0.0012101602551805241	97	invscaling	0.0007399828712136583	0.8227083238530184	0.5258471050914847	9	0.7121959349598654	8	-53.21672084497984	-3111.9256424985624	-23.573894443998014	-93.03959786762516	-35.488107012196174	-663.4487925334723	1224.464227591554	63
94	relu	0.04420078804547116	116	invscaling	0.0025134904444595635	0.5885622638336988	0.15814689879615035	16	0.23487551474258495	15	-48.4794153995086	-3112.027452661369	-23.655248866466575	-93.1034631639942	-38.843404052658464	-663.2217968287994	1224.62124729092	51
95	relu	0.007167381764853147	68	adaptive	0.0034515804270542896	0.9442612008636593	0.7545818492382271	14	0.3777251238602595	10	-45.701001908880606	-3110.988373160524	-24.48621656296771	-93.83488618465518	-36.090358612867774	-662.2201672859792	1224.611494668064	19
96	relu	0.000655195893224586	32	invscaling	0.006634109750397979	0.500768545119015	0.6722391286935537	16	0.5036771943073963	20	-49.34517591366346	-3111.2430641302744	-24.580845346367763	-93.28799205127721	-43.455136706872516	-664.3824428296911	1223.6374802291784	89
97	relu	0.0008604599581904744	58	adaptive	0.00041503618286899336	0.5526597672436694	0.15385863812160222	19	0.1659546189375597	15	-48.126326596010344	-3111.242104745873	-24.023543060814415	-93.95459433820827	-38.693613915469406	-663.2080365312751	1224.2402436803898	50
98	tanh	0.025409405821210176	118	invscaling	0.0002762697378894741	0.6956576487446141	0.6356448697958159	8	0.47040795585442263	9	-53.22710120365914	-3111.339809711254	-24.579991264912987	-94.17717567803903	-43.57888100171477	-665.380591771916	1223.1912778892365	100
99	tanh	0.0015046392930921303	99	invscaling	0.0014299839990680229	0.9063809265926608	0.3380987212480775	9	0.18211971617375522	1	-47.61475384850943	-3110.7110507918105	-24.225855066216553	-93.23403237206493	-36.83468258712861	-662.5240749331459	1224.3149862400262	27
