	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
63	tanh	0.08780880288570152	63	adaptive	0.0011387946783560912	0.6952910941167925	0.426894904289969	15	0.3849223911811894	17	-2.4339701968935583	-2.465838747631396	-5.461022751947102	-2.8932117962641657	-3.2783606354257047	-3.3064808256323857	1.120855641779813	54
64	relu	0.09851659034788966	102	adaptive	0.0002873491407528337	0.5136137534435273	0.3578855716369429	15	0.23476893514355593	1	-2.604484330455424	-3.411129224058124	-5.5465003253806024	-3.555846814286286	-3.113948231052624	-3.646381785046612	1.0042934442687013	80
65	relu	0.004803589853774019	68	adaptive	0.0009498836223243125	0.7026452934981507	0.6940165171409828	20	0.8114658031138807	18	-2.346366789215249	-2.371899956155871	-5.301374825106264	-2.762047139315356	-2.8766798986226143	-3.131673721683071	1.1048268363280327	26
66	relu	0.0006172621311658881	86	adaptive	0.0029852671531269965	0.8230770450040121	0.6776024602785475	16	0.24449412095265197	17	-2.1901414975397833	-2.260548234925101	-5.268846621708365	-2.7344754480112017	-2.7324309328072713	-3.0372885469983446	1.1389002602912994	9
67	tanh	0.06363064837049519	85	adaptive	0.00010298018227716016	0.5126222313032853	0.4017478250194998	10	0.46233297824672903	6	-2.779309880963795	-3.455069727154683	-5.31787749692404	-3.7793204275722334	-3.117189583738507	-3.689753423270652	0.8798435632270051	81
68	relu	0.0001441031428169815	104	constant	0.00022780323152002066	0.8007407853207478	0.782728714854833	4	0.1615752511861888	11	-3.2240064436550107	-2.7470141306752507	-5.528344968768681	-2.771341167398635	-3.4707068491782995	-3.548282711935175	1.0273742411146871	73
69	relu	0.0014135401774426084	51	invscaling	0.0008251180194921968	0.9226735176133924	0.15018163765705433	11	0.1035535679909495	8	-2.7535459434894722	-2.28294321641945	-5.304154763654973	-2.7441104119856927	-2.6918420871974744	-3.1553192845494125	1.088472286044575	34
70	relu	0.014752789553537983	51	adaptive	0.0026992899385840105	0.8745532343450104	0.741252057044649	3	0.6490868833233737	4	-2.190766995993477	-2.142521810854162	-5.288975608002118	-2.7268607945366496	-2.6585174221128516	-3.0015285262998512	1.1679674591581108	3
71	relu	0.0036057456545557504	84	constant	0.00011716652371947383	0.7696118111279122	0.1839995608215928	16	0.11236822682476005	5	-2.831001034195807	-3.1947829443269944	-5.375693658790414	-3.4465958450162875	-3.0313708287999	-3.575888862225881	0.9222378734108541	74
72	tanh	0.0018124970453934279	40	invscaling	0.00033654858997170527	0.7603679651910885	0.16828495551937578	19	0.1458925808257148	8	-3.015493180941756	-2.6683914411503964	-5.4158414480655965	-3.8680787258111122	-3.558809183752728	-3.7053227959443182	0.9513066091233013	83
