	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
72	0.9195050845006438	3.462465633595434	0.08106439202041806	1.7142208923773228	52	0.08319387084960803	7	-2.5764458	-2.5922225	-5.244627	-2.9705162	-3.0180283	-3.280368	1.117161	91
73	0.6390058107640116	0.5959721318977705	0.17749128923252352	9.045561371242007	331	0.5566836759444104	5	-2.4249778	-2.5578902	-5.224733	-2.8648973	-2.973249	-3.2091496	1.1484554	1
74	0.918613173276179	0.8964152552616902	0.011965255045782483	8.318427230789434	58	0.03391454948047599	4	-3.0429714	-3.0460184	-5.3259845	-3.5778184	-3.5381546	-3.7061894	0.94129366	297
75	0.8061793022952801	4.121265039238801	0.014037517217256566	6.4328767647212075	170	0.00039474460161881915	6	-2.6508124	-2.5725846	-5.2168207	-3.0739172	-3.107112	-3.3242493	1.085145	242
76	0.9655939875978747	4.899641047258012	0.012259067820774723	1.6673555234370623	171	0.0009887750159219661	3	-2.7217026	-2.656934	-5.2489085	-3.1021957	-3.0605319	-3.3580544	1.0753866	276
77	0.8395862709855092	3.156133524279559	0.03549039832272602	6.027942689915575	170	0.0018553613680981505	2	-2.5377522	-2.5754142	-5.2183046	-3.062038	-3.0984292	-3.2983875	1.1048962	149
78	0.8814274667387585	4.080015009591194	0.06779051088011702	1.3759343877457775	72	0.28500311935273004	3	-2.654802	-2.616639	-5.2340627	-3.0207992	-2.968152	-3.2988906	1.0968057	152
79	0.7207532737164701	0.10003196652959269	0.014692510114195223	1.4656591123914904	165	0.00220548080623394	5	-2.561212	-2.6780312	-5.223685	-2.9980423	-3.0379446	-3.299783	1.0946537	155
80	0.8472742808877831	3.3774473286290787	0.1604924669173769	5.207578102263499	327	0.015069188443226543	4	-2.5435908	-2.69842	-5.2495923	-3.037883	-3.069071	-3.3197117	1.1017094	230
81	0.8088448778890363	1.2231042619101522	0.010948630048085878	4.315671635332124	139	0.005314165845793436	2	-2.7614613	-2.721079	-5.254077	-3.1943438	-3.184809	-3.423154	1.0478774	286
82	0.8810009538932815	3.3012636348254416	0.14492634412395833	1.664299276749456	291	0.43359162979440746	8	-2.6058154	-2.5805194	-5.219163	-3.0473185	-3.05986	-3.3025353	1.0959258	167
83	0.9711328687616206	1.391100402129699	0.1621042700167663	7.637424411007165	379	0.00027481617761756204	6	-2.5847044	-2.6570547	-5.2255254	-3.1038132	-3.073412	-3.328902	1.0860858	250
84	0.7987322133429897	1.437374794209614	0.053051026522064615	9.41099904563011	287	0.001228556088652274	2	-2.540116	-2.5886688	-5.2370667	-3.0200977	-2.8844244	-3.2540748	1.1265152	30
85	0.7518402845503371	0.729567688794693	0.08609784963720013	6.984593855214523	343	0.0033080317315291033	6	-2.6295967	-2.6346962	-5.22603	-3.0558987	-3.0321558	-3.3156753	1.0876303	217
86	0.8635286247097848	2.0237672952915204	0.016223690399334533	5.476542681575977	380	0.0014740666203032634	2	-2.5450172	-2.585272	-5.2278504	-2.984311	-3.0894096	-3.286372	1.1113642	108
87	0.7533744209430531	3.551849750940834	0.02727693167536025	5.124322322375231	299	0.0004176168052585845	6	-2.6017375	-2.5927515	-5.2277393	-3.0498044	-3.061936	-3.3067937	1.0980655	181
88	0.7817728660510723	0.17430882989217525	0.04907678346992924	7.506622441924912	364	0.07286166172540864	3	-2.5027657	-2.476901	-5.2227664	-3.0306685	-2.9350152	-3.233623	1.1394987	9
89	0.8478567836167644	1.303014402257406	0.13603798431674602	7.2927482941997805	208	0.00013514684857360876	2	-2.6196492	-2.6061618	-5.230422	-3.0163217	-3.1307716	-3.3206654	1.0929083	233
90	0.6434215909071399	1.4026312056088408	0.011085562575202613	6.392236222558244	227	0.004863632571957982	8	-2.5543234	-2.5778196	-5.2255387	-3.0173962	-3.0560532	-3.2862258	1.1094711	106
91	0.62698106964785	2.2338116672276427	0.1074704601787692	3.02389543035414	388	0.011524145546550301	2	-2.4557922	-2.5260065	-5.2343097	-3.0086825	-3.0628183	-3.2575219	1.1385742	38
92	0.6656132827933533	0.17212116979572253	0.04562190276020345	4.197213251025406	399	0.12272933748544174	10	-2.3916047	-2.5605338	-5.222574	-2.9102077	-3.0129602	-3.2195764	1.1478539	6
93	0.7025673733595114	0.36603488556622443	0.012483621546069686	9.757967047405721	268	0.1699027446967417	4	-2.492277	-2.5848238	-5.2257285	-3.0036685	-2.9565861	-3.252617	1.1254826	27
94	0.8365250607792156	2.6712689334916684	0.10341774563876842	7.870926429978846	61	0.00019043915962319488	2	-2.653423	-2.6089144	-5.23342	-3.081154	-3.0010905	-3.3156006	1.0919932	216
95	0.6615715988127006	0.8026510788241442	0.067108623479643	3.0333964222462644	188	0.05078594615977832	3	-2.390985	-2.567499	-5.231308	-3.0452886	-3.0100865	-3.2490335	1.1433237	22
96	0.7090090770908356	3.7862469607323526	0.022431742374581006	1.4373607253880551	57	0.004494324893110312	10	-2.8061209	-2.8033688	-5.260879	-3.2892723	-3.251137	-3.4821556	1.0212988	288
97	0.7558741605770611	0.36743009386550063	0.08353015377012296	1.5670958299671	138	0.0013293218223054983	5	-2.537931	-2.627307	-5.2125716	-2.9999368	-2.9459894	-3.2647471	1.106836	50
98	0.9224983513363366	1.3430371293867904	0.02783379839225072	8.433277298210974	350	0.0004506853917153576	10	-2.610132	-2.5747483	-5.222355	-2.9919293	-3.0222316	-3.2842793	1.103198	100
99	0.7229798551069485	4.893630268449988	0.10331881179960652	1.329905778865529	112	0.00042531728762563336	5	-2.6129425	-2.6625972	-5.2384157	-3.0427954	-3.0374875	-3.3188477	1.0919108	227
100	0.8292529053072721	1.3112523065816917	0.1418124789069249	7.272046347188927	162	0.0004077537904627476	5	-2.6342645	-2.7037022	-5.2306337	-3.034593	-3.0930774	-3.339254	1.0760663	264
101	0.6232156591758088	0.6857405231714869	0.06588002814394628	2.1602057917062365	260	0.3286548783577327	5	-2.4623942	-2.677415	-5.231737	-3.0134113	-2.9971912	-3.2764297	1.1171228	81
102	0.8046306175511352	2.6137351906206137	0.056653575003217424	1.81099207803523	127	0.10621874893254274	8	-2.5937662	-2.625897	-5.2381306	-2.9646218	-2.9591348	-3.27631	1.1107872	80
103	0.6402720640403757	0.26788491690307215	0.08149666482018907	8.464003411481983	385	0.4619663079722472	5	-2.3875191	-2.5502625	-5.242473	-3.0314	-2.8494918	-3.2122293	1.1623806	3
104	0.6920719615558799	1.287338463736928	0.1041735596120586	6.038982598247913	369	0.07586291360884566	6	-2.5011344	-2.6322958	-5.252992	-3.0606313	-3.083059	-3.3060226	1.1182992	178
105	0.7579651649393496	3.9475474500269985	0.09368507181460686	9.3009520768771	108	0.4486568959886574	8	-2.6037462	-2.6312432	-5.2319255	-3.063869	-3.00553	-3.307263	1.096192	184
106	0.7357814581966425	4.773168394327066	0.15999733533579089	3.383169904067185	86	0.010883825088951832	7	-2.653597	-2.5665374	-5.245122	-3.1109233	-2.8728309	-3.289802	1.1132169	116
107	0.7551957865642938	0.7990568934188976	0.0315064833685569	1.4324499515498714	99	0.00351274019809913	6	-2.5246236	-2.6104665	-5.21396	-2.9515836	-2.947457	-3.249618	1.1149998	23
108	0.62285725762747	4.949511509618792	0.049842301512836786	3.7006466787723378	216	0.006388595370608191	10	-2.57304	-2.6030164	-5.2170744	-3.05555	-3.0223906	-3.2942142	1.0984179	131
109	0.7287855887850889	4.692035039062104	0.02051918641869364	7.5960273447580855	182	0.00018432804996855183	9	-2.6369445	-2.6440315	-5.227927	-3.125101	-3.0716152	-3.341124	1.079483	269
110	0.8632444424785894	1.1276429222297057	0.02668434921740111	5.954581690578475	322	0.055373650407843915	10	-2.5322974	-2.5339725	-5.236915	-2.9667335	-3.0566807	-3.2653198	1.12828	51
111	0.8288369655601173	3.8638252048189283	0.044040819051341974	2.0112852142343316	217	0.5864368398111313	9	-2.6439502	-2.63833	-5.2109895	-3.0488267	-3.0237439	-3.313168	1.0791926	205
112	0.8384073159704116	3.616499576667613	0.10851837319560004	7.301491438009127	211	0.34982174181276493	10	-2.6615283	-2.5837932	-5.225779	-3.035213	-3.0851815	-3.318299	1.0890142	225
113	0.7026443139314001	3.43808531814215	0.10479456393483584	4.431535652876206	332	0.03519908013165314	8	-2.5551496	-2.6279652	-5.2230353	-3.072621	-3.0457952	-3.3049133	1.0978044	176
114	0.853258998952668	1.7231953741481785	0.012213520180530842	2.5193841393325553	137	0.03988215514659294	5	-2.6861014	-2.7226944	-5.2409735	-3.1025524	-3.0991538	-3.370295	1.0644423	280
115	0.6179346556858364	2.922516444824551	0.11621518478942394	8.169504679320179	336	0.02031442193036436	5	-2.5814242	-2.6962738	-5.2636876	-3.0691159	-2.90975	-3.3040504	1.1115785	174
116	0.9669289245951989	2.094920873567094	0.02177102855077803	4.4161443633829744	213	0.0015013886404025081	7	-2.564377	-2.57179	-5.2285237	-3.0013764	-3.0695832	-3.2871299	1.1104137	113
117	0.9540561653248019	2.4087927261166713	0.08042847712763411	2.2493237895588107	231	0.13259870871551374	8	-2.5347748	-2.6550171	-5.235564	-2.891368	-2.9951077	-3.2623665	1.1181278	45
118	0.772641703988682	1.021418846164967	0.06460361487371953	7.048650785621237	64	0.07387856211380985	10	-2.582316	-2.5673547	-5.206633	-3.0163236	-2.9903953	-3.2726045	1.1022322	69
119	0.7832893225622765	4.277737503443487	0.05535593688911821	8.936290037057368	274	0.0002539773642867963	7	-2.643941	-2.5708177	-5.230962	-3.092432	-3.042803	-3.3161912	1.095292	221
120	0.6787220122966212	0.5070282915730525	0.16289679980095853	4.337539704008418	354	0.029772414032367817	2	-2.5632226	-2.6055663	-5.2530174	-2.9896798	-3.1004488	-3.3023868	1.1152855	166
121	0.719708835390237	3.1768312270753896	0.04281947791837418	4.7902008227989175	115	0.0008622614876564347	3	-2.5217855	-2.598731	-5.2301116	-3.0259488	-3.0477426	-3.2848637	1.1135887	102
122	0.8914003748659853	1.5870900710177982	0.019669909909692113	5.594793814103009	104	0.11425077993767047	5	-2.6106894	-2.6478744	-5.23714	-3.069293	-3.154714	-3.3439422	1.0860028	272
123	0.6511508652912882	0.3609523060394517	0.09089486266050383	6.7726831738143805	120	0.002410084485610304	2	-2.5035386	-2.451063	-5.232514	-2.978127	-3.015054	-3.2360592	1.1460813	11
124	0.687995737771494	2.063781834390361	0.1104053194722592	8.560986268239745	109	0.006845602080630883	5	-2.5753944	-2.5858545	-5.2443204	-3.171878	-3.0698137	-3.329452	1.1045929	252
125	0.9060827827404663	2.159841854088946	0.0981641402826688	5.904155146571227	95	0.306704674699087	7	-2.5860932	-2.6326728	-5.2297096	-3.0791092	-3.1487052	-3.335258	1.0890633	258
126	0.8310662355831744	4.525036756231195	0.027703438946669563	7.157378877276276	370	0.007746405211577657	8	-2.641771	-2.616288	-5.2278814	-3.1144826	-3.0871122	-3.3375072	1.0828387	261
127	0.9354278271546642	1.2011205144515364	0.04202518528030972	9.85506464313325	182	0.0852465917936748	7	-2.5389528	-2.6045465	-5.2450185	-3.0130622	-2.9492466	-3.2701652	1.1232604	61
128	0.8928586289126055	4.373038572171959	0.03841646801416428	6.443263945340316	111	0.000834576913594337	2	-2.638691	-2.5479658	-5.228577	-3.024653	-3.1276119	-3.3134995	1.0985123	208
129	0.6422125161570346	0.6980748071189755	0.050350744107692615	3.5393205527113016	215	0.006862117651137535	8	-2.3941495	-2.5892766	-5.2268386	-2.9665768	-2.9926498	-3.2338982	1.1426053	10
130	0.8534282097610862	3.28896293017461	0.021129580253296754	3.3414132871635336	330	0.0005281541113754849	7	-2.614389	-2.6029463	-5.2273817	-2.9818385	-3.028306	-3.2909722	1.1006116	120
131	0.6883447008410164	3.5886096045024547	0.038763734152616545	9.524425631538891	352	0.0012407407144995612	5	-2.6116514	-2.5860646	-5.2282147	-3.0755582	-2.9832778	-3.2969532	1.1013833	144
132	0.9657980087925144	3.1717107656485974	0.16434751601216097	6.027764490853148	377	0.07300630926624856	4	-2.5417757	-2.5587	-5.246899	-3.088329	-3.170542	-3.3212495	1.1151403	235
133	0.9002921357456449	1.049941273524173	0.02127792912160812	5.569225866803604	372	0.007388898131067031	4	-2.5940692	-2.5858204	-5.227231	-2.9600618	-3.0655553	-3.2865474	1.105919	109
134	0.7025890495348983	0.8175394793209068	0.021668260694206708	7.0527778281176365	172	0.02226269641682312	9	-2.5428326	-2.611773	-5.233842	-3.0381877	-3.0087907	-3.2870853	1.1112176	112
135	0.6942237285856567	2.7738230122668215	0.015132371774452287	7.9656964024206705	231	0.006489157378504368	4	-2.583473	-2.6140804	-5.2347126	-3.085856	-3.0420272	-3.3120296	1.0998515	199
136	0.623767813261802	4.156104592126169	0.030438499891724115	3.3897330189364707	314	0.00568074804689466	8	-2.5359573	-2.5484512	-5.232683	-3.0730438	-3.0492055	-3.287868	1.1177568	114
137	0.7964692906948229	2.8118632578473757	0.016764754203928964	4.034232760478732	220	0.01621433769305867	2	-2.6071167	-2.570583	-5.2197556	-2.9854412	-3.0468848	-3.2859561	1.102228	104
