	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
49	5	0.26733356690634685	12	15	-38.07767778915995	-226.3263360827469	-2.3414289238631856	-180.02112948711738	-0.3309306742186183	-89.41950059142121	94.98155966996312	26
50	8	0.10275211894245509	12	116	-38.08737247261691	-226.41637460478736	-2.3967841862841204	-180.11667571647828	-0.316373059122338	-89.4667160078578	95.01728032562605	54
51	3	0.9830095095329656	6	166	-37.83866252407743	-225.48912263950317	-1.3290169489696206	-179.6110520735493	-0.31176327664960535	-88.91592349254982	94.87770556567818	7
52	14	0.11795496076270207	15	190	-38.09655084820785	-226.4149553081725	-2.4136209544213854	-180.12643844881026	-0.3165477497628502	-89.47362266187496	95.01462309494937	58
53	3	0.5908025274640991	16	68	-38.0841066273128	-226.35186758538504	-2.3451549293232214	-180.0804014748334	-0.34539434939178837	-89.44138499324924	94.99613722007369	33
54	5	0.7458082500051022	16	136	-38.0754252462688	-226.33510951108687	-2.357484993916522	-180.05693770840537	-0.40280621016781526	-89.44555273396907	94.97473989532347	39
55	6	0.35183288999717616	4	145	-37.503653662121614	-225.87219480480954	-1.9896722677109426	-179.65189610784756	-0.3131677044052873	-89.06611690937898	94.91023881780427	10
56	4	0.16362365325910813	2	85	-37.262681994700124	-225.6225271918362	-1.826093862183556	-179.62991050663896	-0.3056676978735535	-88.92937625064647	94.89172276271724	8
57	14	0.22949883949495972	18	71	-38.09212779098819	-226.38343762638578	-2.4210431139210384	-180.12573930367634	-0.3167704678870711	-89.46782366057168	95.00448140100937	55
58	15	0.20751231812349685	17	123	-38.087440562947904	-226.39589114504727	-2.4037813492948334	-180.11979677633573	-0.3148556942428156	-89.46435310557371	95.0109664855949	53
59	13	0.3744794639215287	12	107	-38.06975764394004	-226.31769061095966	-2.3520012660183527	-180.01792059426438	-0.328414510404424	-89.41715692511737	94.97784506801567	25
