	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
10	0.8047961036030006	0.02581745708433915	0.19364099872591067	poly	711	-467922400683.4544	-3111.8256001593754	-261845333548.88165	-93.10015038250545	-145.8118256485918	-145953547516.6147	190264112012.36496	168
11	0.8282967470784516	0.7538700503068642	0.011613393605749771	poly	629	-222886.27341127567	-3111.7515752787062	-46191163.80650165	-92.72345211279821	-46.06476137629547	-9283460.12394034	18454051.81752619	141
12	0.22956371190350477	0.9214578870454095	0.012938091500262379	rbf	702	-52.76576762044924	-3111.9365702594478	-26.239499446400096	-94.13797614595836	-43.30032846369598	-665.6760283871904	1223.334456151147	32
13	1.8567769547510444	0.12348801342720354	0.011869430783275346	rbf	312	-51.292223088741245	-3111.831943027081	-26.14067751087394	-93.89079200174255	-40.07292775354184	-664.6457126763961	1223.8025961959463	13
14	0.15294126982859024	0.6879827907535506	0.04185313399238152	rbf	442	-52.90431594829466	-3112.0092267873433	-26.37832491897183	-94.26919179769997	-43.43999359310847	-665.8002106090837	1223.3086463857849	41
15	8.14585445288028	0.5390827280939187	0.00018435013219322157	poly	604	-52.949874861100284	-3112.048851369754	-26.283725491918407	-94.32441583102732	-43.504383876189166	-665.8222502859978	1223.3181073411863	43
16	1.5317552398482512	0.008719300172377112	6.6812080802976785	poly	795	-540896550.8269956	-3111.8713076025483	-2615223903.2314215	-92.97761693066376	-219.88408044108144	-631224775.7582843	1013877858.0365379	148
17	4.97509939450379	0.07749897974315541	1.612068806581509	rbf	760	-53.01621392337927	-3112.057955328675	-26.50435641263296	-94.37670224105011	-43.5574594593539	-665.9025374730184	1223.2817487649797	51
18	0.4144453913207415	0.07111898938872147	0.5119599681990566	rbf	449	-53.11213289929021	-3112.1091818418163	-26.61493437550487	-94.46257954671219	-43.656205056169625	-665.9910067438988	1223.2629930601865	77
19	0.18782449835627982	0.023667158474847416	0.004189197622268239	poly	400	-194.41228957593302	-3112.0894721506234	-2261714.7576658013	-94.01233911208115	-42.21679134667537	-453031.4977115973	904342.3786339782	134
20	0.2142904421487462	0.04566748452635582	0.01740216521544932	rbf	490	-53.12926355006362	-3112.1176023244807	-26.63486331402975	-94.47757274993361	-43.67134258457488	-666.0061289046165	1223.259619582883	82
21	3.915447467808021	0.12290244195914835	0.020097937013251212	poly	406	-430592223133391.4	-3111.7661467978955	-127015977435961.45	-92.27661211160292	-831.5085653712889	-111521640114677.66	166947500776519.9	180
22	5.9508349320949865	0.5008124070343285	1.005530492433656	poly	305	-1.4736025613614832e+23	-3111.866856818866	-41580675.792064875	-92.41946868064744	-39.97588782343537	-2.947205122722967e+22	5.894410245445932e+22	192
23	0.1205900898851218	3.1819027317917037	0.002414434133743	rbf	482	-69.24911690640741	-3109.5142776875723	-61.336394579805	-99.94197295124413	-66.00707010759768	-681.2097664465254	1214.228004815089	106
24	3.922129363239759	0.7395523630830766	0.0005441740900330933	poly	376	-52.73187480616396	-3111.9977922267008	-25.87957160859756	-94.1883124301641	-43.346678309350104	-665.6288458761952	1223.3905535091887	29
25	0.13756379238218916	0.02680911720728221	1.1591716495135143	poly	458	-83062414208.1921	-3111.901843303197	-55188641147.9083	-92.19783349161213	-120.02937372860615	-27650211736.04589	34992798460.84057	161
26	1.5838311313512836	0.8177962835568138	1.276844592405299	poly	696	-7615.352873220794	-3111.7377831217736	-408046.74894120364	-92.84800956200064	-42.23883071657499	-83781.78528756496	162156.0350452081	131
27	0.10334430538642785	0.04797636442260973	0.020686217668581752	poly	530	-831916.6643301843	-3111.8514979719653	-208181925429.0689	-92.42378301700606	-179.5948654885792	-41636552145.920685	83272686642.19577	164
28	1.2102755623608206	0.26982550948899525	1.3876053798982517	rbf	689	-53.01519168658994	-3112.0596774483142	-26.50198158309197	-94.37308822509108	-43.554562058460306	-665.9009002003095	1223.2834206999157	50
29	0.18042458207871773	0.008350696457448297	0.19760229548803449	poly	345	-2.6675659858764113e+27	-3111.8358612477828	-1.7182869760340874e+18	-92.68216892735313	-139.72234420874182	-5.3351319751893965e+26	1.0670263941787359e+27	195
30	0.280644977190694	0.19927386782171544	0.0007040745038916636	rbf	652	-52.74748276400606	-3112.054097961507	-26.46202931836369	-94.37095323653344	-43.303876394856374	-665.7876879350533	1223.3379026310488	40
31	5.175487359646688	0.0013636308503605895	0.046049405172526856	poly	757	-3607425857.696289	-3111.876318056253	-80632670751.94865	-92.792912220801	-132.36075267395256	-16848019989.334982	31922914109.16549	159
32	8.918244246312398	0.01250357987441862	0.000700656760565742	rbf	348	-51.91532937228923	-3111.7215716845676	-24.34751607432918	-93.46498064959889	-38.474422502764384	-663.9847640567099	1224.0862953196909	8
33	6.582106841335655	0.0061678181107763085	0.016130532833861864	poly	638	-973536009981344.0	-3111.7770467461337	-5170032523828.133	-92.53282124761242	-242.80976296070054	-195741208501723.8	388902555516961.44	184
