	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
22	17	0.42614454633115	20	2.744506624473674	2.4064710145445147	0.0006940272565312464	rbf	-2.336941734395872	-2.370240538124725	-5.328354539337909	-2.7788239104196917	-3.046484404044132	-3.1721690252644663	1.1099862071558932	43
23	11	0.1461223535932801	5	0.8428952277794844	0.03525029578453197	0.043869509552152144	rbf	-2.431351065176948	-2.3824034812958055	-5.308376856781582	-2.906642331463912	-2.7899710732369964	-3.163748961591049	1.0910682816539694	40
24	10	0.4349877460030659	1	0.13404313340691656	0.003962280465200586	0.00013060260531039573	poly	-2.4040257289186453	-2.4740227916470294	-5.298504669609703	-2.878174659296273	-2.7613336136976785	-3.1632122926338657	1.0819956438885991	39
25	17	0.49738868594505203	17	1.3599809006000376	0.007258247068945441	0.00011453914398340603	poly	-2.4636193749487965	-2.5322811980160247	-5.313685586863703	-2.9157104221303176	-2.8579872156733126	-3.2166567595264306	1.063219418006244	53
26	13	0.10938995135764273	5	0.3042326590786119	0.0011023503079361629	1.4229892852506978	rbf	-2.4161575008572047	-2.349123692859258	-5.3003784017532825	-2.9369721281730254	-2.7522006634758625	-3.1509664774237267	1.0961455614593947	37
27	13	0.2874772486848978	8	5.400053570063088	0.27444744583171127	2.307469215559176	poly	-2.2391262974241966	-2.2594440289047593	-5.312294942244242	-2.6976959104004643	-2.6751732858351893	-3.0367468929617702	1.154487619997419	8
28	16	0.1893300644331275	14	0.7957028050207349	0.5948353610938608	0.0011728174661973744	poly	-2.3095158880584057	-2.3698661126702936	-5.298542648534266	-2.8287428983872616	-2.8114448300743438	-3.123622475544914	1.1086572776647579	33
29	14	0.5494053922538535	7	0.6858025338115983	0.005316393963707914	0.04027824288139338	rbf	-2.440859115276448	-2.3675056189605055	-5.3112860036279	-2.919090769913397	-2.80020845928195	-3.1677899934120397	1.0918265627279669	42
30	15	0.20751231812349685	17	2.388220024553861	0.19665818455107262	0.7089108211798226	poly	-2.2432595559174393	-2.2957768083380343	-5.330950429280642	-2.7254810250316823	-2.789543600656472	-3.0770022838448536	1.1482092241576989	23
31	11	0.9090545612280351	2	6.8773069808799265	2.052930647450518	0.00034228173228470786	rbf	-2.3590191153045206	-2.3194602301072336	-5.296833670027896	-2.8995384718021224	-2.849058693586828	-3.14478203616572	1.1024973820715058	35
32	15	0.17087207589526981	12	0.2984501718304469	5.784455818939409	1.268501418798459	rbf	-2.105687910288688	-2.5228385235326467	-5.301307267237512	-2.8345510285618483	-2.80956926468753	-3.114790798861645	1.1243882706835409	29
33	8	0.4468156011104356	6	1.193580396206958	0.14192690836073354	0.036211635531716774	rbf	-2.5049784658769014	-2.537856222202694	-5.300622097181257	-2.9694080356354107	-2.848427905037299	-3.2322585451867125	1.0493498019092455	55
34	17	0.10143240654984023	7	0.3759757931987383	0.489189215000591	0.36328204521873175	poly	-2.235282869652964	-2.1740748975711965	-5.279562150161751	-2.7276762707027844	-2.6892622746348684	-3.021171692544713	1.151679217959211	3
35	19	0.9407529054226805	6	0.3502609192322518	0.011232640862723266	0.11123259100806157	rbf	-2.4389691867623298	-2.3527295523021565	-5.31686176092503	-2.94076618366462	-2.7555740519209837	-3.1609801471150236	1.0986576059326059	38
36	9	0.16132262833397398	6	1.875014734280894	1.1074878666075298	0.0008712637457049803	rbf	-2.2453983914081257	-2.2798682700446227	-5.254575696916623	-2.8194253663671707	-2.723641266381739	-3.064581798223656	1.11886122231086	20
37	3	0.17635738245593457	7	2.2866175637408177	0.0628622093054157	0.008878007721995892	poly	-2.251228913281257	-2.256732083606259	-5.315401682069192	-2.7023974327497524	-2.6634996319535063	-3.0378519487319933	1.1548875461091803	9
38	18	0.10244329386696292	9	2.3431930693089593	1.851722814331412	0.1405241145017688	poly	-2.3547684690837767	-2.2424524007610147	-5.284384006463836	-2.896130355689736	-2.8117999153641593	-3.117907029472505	1.11223290901321	31
39	10	0.13985546236862237	19	0.40517644913936973	0.08388824642450597	0.0037596638693789598	poly	-2.349269537300469	-2.3349623932946377	-5.316140796111468	-2.7220326280575056	-2.725892127531401	-3.089659496459096	1.1262717434009248	25
40	13	0.37063733533748344	18	0.5577822704854759	0.5236898500418199	0.00040782312296738164	rbf	-2.277559814864088	-2.325097142501685	-5.271915722880738	-2.79291117499619	-2.696153326267918	-3.072727436302124	1.1178351329829834	22
41	20	0.42949040143862105	1	0.3489851637847512	3.6380842300566707	0.0010412236544878684	rbf	-2.105687910288688	-2.5228385235326467	-5.287731750387537	-2.569496392426737	-2.744681625742427	-3.046087240475607	1.1402714071529974	13
