	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
23	3.9460520935166965	0.05264525903138367	rbf	16	0.1045097148979419	1	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
24	5.175487359646688	0.00014735708525017116	rbf	12	0.33311263543403463	12	-2.1317021290131315	-2.1489199380073147	-5.2451738966926	-2.6951942658717187	-2.547629329725265	-2.9537239118620056	1.1666981330478892	3
25	0.33578629602543053	0.04329412383922446	rbf	20	0.15759153635511386	20	-3.0183182790667376	-3.0591411863984685	-5.591603151136473	-4.141323597511126	-3.942722693900398	-3.95062178160264	0.9373555254865416	82
26	2.744506624473674	1.6854885004708946	rbf	13	0.46234797826468627	9	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
27	0.2135174221963958	0.00015053726595545727	rbf	13	0.6632693345690645	18	-2.167497197353029	-2.2678782542041427	-5.254844682890063	-2.755110390494903	-2.7001732867773693	-3.029100762343901	1.1365755951981626	49
28	0.528729199610515	0.0002080230350800329	rbf	19	0.10548491763332951	10	-2.154264323487949	-2.199035287484727	-5.247198231523985	-2.7045464951218525	-2.657333065905409	-2.9924754807047846	1.1498820379758912	17
29	0.45209873229213426	0.00031179287304462707	poly	14	0.16413754630057806	17	-2.953101980384563	-2.9412442302588273	-5.515911359140098	-3.2017381188718006	-3.4084760399005862	-3.604094345711175	0.9714280913119239	65
30	1.5159738453734293	5.050181271408544	rbf	7	0.1744226645475329	12	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
31	0.13913372768530577	0.005015787064331089	rbf	19	0.5908025274640991	16	-3.5135101674616114	-3.564408733952066	-5.518575175408141	-4.141323597511126	-3.942722693900398	-4.136108073646668	0.7298093836112025	92
32	1.6566455439583667	2.307469215559176	poly	16	0.1893300644331275	14	-2.1472559538194753	-2.255007000370765	-5.291572233648814	-2.729685429365361	-2.6720923166941786	-3.0191225867797185	1.15864190577294	41
