	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_estimator_config__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
100	0.88938698608039	4.7160710248278885	0.022330177142905302	7.482852365515207	135	0.0120766517492904	6	183	-38.06723	-226.3172	-2.4778905	-179.4172	-0.44663087	-89.34523	106.010155	126
101	0.9543846797869582	1.69798449684628	0.11922140109304968	5.6798036704300126	397	0.13709398095140696	9	153	-37.722168	-226.38847	-2.6054907	-179.11995	-0.30834782	-89.2289	106.014824	64
102	0.9341086645025993	4.088708993394551	0.06664136526511064	3.981379258639511	397	0.0004734584148101105	9	212	-48.589905	-215.64368	-2.467812	-179.2001	-0.31701773	-89.2437	101.43945	71
103	0.7222309921915911	1.2914862015821003	0.12629073784502387	9.204672980078	156	0.0027456145404106836	5	166	-37.898037	-226.21985	-2.5038664	-179.25098	-0.5150347	-89.27756	105.94424	82
104	0.7966509145710667	4.389950562063869	0.025904475493063153	2.973269271209843	66	0.0829983943315964	10	239	-44.134018	-226.33084	-2.4722378	-178.56357	-0.312004	-90.36253	105.16378	220
105	0.9528412988660268	0.33745133638521563	0.0891018842414409	8.02571341330983	72	0.005326194721845275	5	227	-37.702877	-226.31143	-2.504128	-179.57703	-0.40085325	-89.29926	106.09067	89
106	0.8688289238053883	3.217986693337076	0.09254399652372981	5.124009757651221	208	0.019268539527664354	10	230	-37.214516	-225.85602	-2.4696648	-179.15613	-0.40840486	-89.02095	105.919075	18
107	0.7640619012749158	3.530679234347642	0.01803222211750425	1.7476029845219332	271	0.03014732432995273	10	198	-88.29782	-226.38478	-2.504362	-179.97263	-0.3287523	-99.49767	102.40138	267
108	0.8473814049911477	4.6729800042989345	0.10011606563481339	9.885224017273185	218	0.004836527918191946	3	235	-37.849953	-226.24149	-2.4386268	-179.89029	-0.5143499	-89.38694	106.10658	165
109	0.9339278401888563	0.39267398367379736	0.08867507635929635	3.7313899263592205	173	0.1861820801616734	5	236	-54.446743	-202.51965	-2.4864533	-174.11894	-0.33937997	-86.782234	95.716484	1
110	0.7246307553447948	4.832975942716715	0.025239118752660255	2.053195344873388	120	0.002410084485610304	2	206	-86.30287	-226.30838	-2.4977553	-179.15434	-0.35310197	-98.923294	102.270744	259
111	0.9973737072967642	4.199546545208675	0.18511917412226303	8.362337268784641	165	0.005485031170659733	7	170	-37.966187	-226.00638	-2.3520393	-179.3177	-0.58256197	-89.24498	105.89818	73
112	0.9049746341622452	2.770040024244335	0.11859478425940997	4.699276416186688	131	0.3757198809088764	3	152	-37.69601	-226.4145	-2.598164	-179.0902	-0.30806702	-89.22139	106.02167	61
113	0.7174984564904964	1.3757491275504583	0.010101590321993795	6.1488823773874755	270	0.00048613559591106345	2	231	-38.020657	-226.37108	-2.4873471	-179.62592	-0.5405982	-89.40911	106.05592	179
114	0.9427359550711395	1.5669922644466014	0.0897893193052597	7.2561485800096115	368	0.009515909965020119	6	247	-37.87094	-226.2399	-2.5008981	-179.05978	-0.5889401	-89.25209	105.89857	76
115	0.8065730424098013	3.8236745383605966	0.019939480809999296	1.4633803140355766	106	0.00030776861654866546	5	234	-56.781754	-226.19507	-2.467311	-178.94707	-0.32256046	-92.94275	103.95293	232
116	0.7128586912316134	3.090311047059754	0.03768837536581747	6.702134719624441	353	0.001567881775670027	3	196	-37.91565	-226.36668	-2.4764109	-179.40834	-0.44274825	-89.321976	106.043724	115
117	0.8983156052953285	0.9853818144674235	0.03676985963075173	6.796782570614785	159	0.001802850553014559	7	215	-37.898266	-226.32437	-2.4791489	-179.29674	-0.5981479	-89.319336	105.97536	113
118	0.8277209183930192	0.7952980199169816	0.062472342532303965	9.77011522137604	230	0.31544644733699384	2	209	-37.299736	-226.32709	-2.4660752	-179.34756	-0.74442714	-89.23698	106.03209	65
119	0.9737848161803988	2.8373384450200474	0.025054710413497026	8.658783866441363	290	0.0025435005306986376	4	159	-37.992046	-226.2678	-2.4340043	-179.25044	-0.4105526	-89.270966	105.98443	78
120	0.7960480487163828	4.065841070078782	0.013708510989996902	9.561210479440781	372	0.007388898131067031	4	174	-38.004677	-226.18468	-2.4389813	-179.68771	-0.56443626	-89.3761	106.01577	156
121	0.9462535117460389	2.8647550960242465	0.1198742537623617	4.178723796501843	252	0.006386108470778293	9	169	-38.55867	-226.43126	-2.5634356	-179.14107	-0.4115104	-89.42119	105.919075	192
