	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_estimator_config__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
10	0.6162623237746743	4.390791451863408	0.02289901770836953	5.281880494818198	275	0.29789345636446907	12.976656073327387	6	241	-37.769623	-226.05643	-2.5073185	-179.60225	-0.3510095	-89.257324	106.01542	59
11	0.8563124241508604	2.530483576280222	0.041253404604254876	5.26811219639587	258	1.655173678968235	4.9368137690548926	9	205	-37.230022	-225.95831	-2.4891937	-179.12212	-0.42538458	-89.045	105.93545	17
12	0.9042060479921132	0.13500204886709263	0.03521816683756598	5.1682259623433255	397	0.061316792201838756	10.194325797197862	4	213	-38.461708	-225.01889	-4.045743	-178.91397	-0.5625133	-89.40056	105.092094	122
13	0.8346883682662525	1.0113945501143071	0.11398716617854551	6.227626688274931	261	8.955280345192081	1.0309681764648548	2	184	-37.8356	-226.16719	-2.4278193	-179.55998	-0.48811615	-89.295746	106.021706	78
14	0.7952391685058897	1.1808403604474627	0.052032299178431204	5.703319957675465	101	0.04221820468041294	17.494053224973317	3	183	-37.973118	-226.2839	-2.5112908	-179.57523	-0.36573797	-89.34186	106.054504	96
15	0.7766118970810559	3.624237494292449	0.12584020243216046	2.514477748305199	127	1.0798813574850727	0.04067073116127244	6	239	-71.337105	-226.28201	-2.4958968	-177.37595	-0.3310712	-95.56441	102.58938	189
16	0.7126135271393975	4.058567147622403	0.01143516006710018	1.0739485453538085	243	15.552474841343846	2.2639272031858795	2	214	-37.495228	-226.0734	-2.5113926	-179.90079	-0.3082041	-89.2578	106.1261	60
17	0.8071120307586188	1.7053215586677932	0.01344333260665477	6.100897641562924	105	0.1681436164650631	1.5264114223667713	2	190	-38.096302	-226.44121	-2.4675922	-179.99292	-0.36632055	-89.47287	106.1881	149
18	0.9904855288314907	2.8021201107788203	0.012396667162288523	4.060610363926861	323	7.070167871422788	0.19809094355792942	4	198	-38.03428	-225.93454	-2.7399054	-179.39835	-0.31291503	-89.284	105.86103	72
19	0.9650610745665521	4.319626486531023	0.03303532348649452	5.917027921122997	124	23.372316026977284	0.012959669742792227	2	183	-38.082577	-226.3392	-2.4843764	-180.10754	-0.30895835	-89.46453	106.189926	146
20	0.6285358749028829	1.867824419547584	0.034991297459266046	2.6326386015163026	161	0.054226610784048515	2.5471053619943316	2	176	-77.760765	-225.92934	-2.524806	-179.24852	-0.4291203	-97.17851	102.48058	192
21	0.6770032875839421	1.8371039884234697	0.031065525125379866	2.856572708505889	307	0.05824345618583849	0.5763874728978284	6	194	-92.42364	-226.24332	-2.5360363	-178.50491	-0.6212227	-100.06583	101.898415	195
22	0.6930684382527895	2.3102851544576586	0.022882156288817655	5.5162620200658115	221	0.015540218131097561	0.010159218185100157	9	155	-37.603252	-226.31848	-2.5118833	-179.3581	-0.3083599	-89.22001	106.07632	47
23	0.8153703354357289	2.7362793095570814	0.046326302324657086	3.1796730124688395	168	1.7082391759613156	0.1158109381585191	8	238	-38.76827	-219.14948	-2.4750655	-178.10664	-0.3154021	-87.76297	103.3755	1
24	0.7547821034683295	0.12038478121130546	0.015519378488149877	1.3300133615616787	204	0.3721149417782736	1.5698084950162445	9	228	-56.70382	-226.3598	-2.4948363	-180.03203	-0.33845505	-93.18579	104.22811	181
25	0.9954537338247754	4.111850463854164	0.06731450240748209	7.849762697995173	263	9.942283674730962	0.021713583373338802	7	220	-37.930557	-226.20523	-2.4627104	-179.93877	-0.43044016	-89.39355	106.1081	119
26	0.8718387070056941	2.303027309391565	0.032133896172025445	6.9566117227324185	239	0.02439630032681065	3.4153836018938417	9	203	-37.888786	-226.28227	-2.5016222	-179.2588	-0.5425811	-89.29481	105.961876	77
27	0.8702738530696112	2.542511649046552	0.10202921919483234	6.085466805439345	327	1.4060855568844874	0.11759296750523518	6	229	-37.73578	-226.32423	-2.5198045	-179.30849	-0.7130177	-89.32027	105.965195	86
28	0.8515405612258589	1.3670885431039645	0.12643020399810354	4.79128337739346	172	0.028289378694250758	0.02201476071768266	4	217	-37.65676	-226.15088	-2.548752	-179.66641	-0.388342	-89.282234	106.05699	70
29	0.712352094979568	1.4298770628486623	0.14394631932589552	2.831579246508999	311	1.1521291927970019	0.1632801235722974	10	212	-96.82695	-226.22719	-2.4958448	-178.62894	-0.59648937	-100.955086	101.86932	197
30	0.8246962624275506	4.481312151085456	0.060028266549719274	4.033308514872411	337	4.846178514561877	38.877202766532314	7	229	-37.973476	-225.88893	-2.9990938	-179.78983	-0.3113828	-89.39253	105.88453	118
31	0.7419453601880821	3.0638314112648932	0.05400599252442913	6.617172904319296	368	2.4104172036729548	0.1648710458152589	5	187	-38.007862	-226.25726	-2.4935946	-179.59653	-0.51668334	-89.37439	106.01821	110
32	0.9873652804867398	2.0858114371463796	0.016151331600198715	3.682119242807681	393	0.05615673931673944	27.184524575427425	10	161	-37.982216	-225.37057	-7.4568	-179.86606	-0.30320805	-90.19577	104.83994	172
33	0.7654595880549958	4.662493791416335	0.024168372177981984	7.064251015920878	295	0.09540823661422747	18.272516715182366	2	152	-37.93644	-225.88625	-2.447949	-179.39687	-0.42551687	-89.2186	105.89309	45
34	0.6596899802764347	0.8898800451625501	0.01171215656536543	1.4231184852961019	213	0.01783226619280886	2.280039676096989	2	199	-39.315907	-226.35002	-2.469735	-179.93164	-0.3284879	-89.67915	106.00697	165
35	0.7564940803142549	4.553745807683919	0.020285623503049747	7.286570407828521	179	49.66398166996635	0.015021443919151188	2	248	-38.11705	-226.46939	-2.4558945	-180.17648	-0.30459082	-89.504684	106.24917	159
36	0.8156226802726544	4.469493844015674	0.11773173577194986	6.484479769401617	273	16.57651448633289	5.961731365064364	5	161	-38.066883	-226.35995	-2.462602	-180.04605	-0.3575875	-89.45862	106.17965	143
37	0.8870545741653395	0.579157985491795	0.024460244401053405	5.3732985038872565	270	0.07581429343721797	2.872772732434199	3	166	-37.321156	-226.32686	-2.6586127	-179.2051	-0.4219499	-89.18673	106.02719	39
38	0.9101930212905427	1.0592942136800256	0.04169715321580349	1.9320272232706612	340	0.9164915829762852	3.396136738813005	6	181	-58.38341	-226.43669	-2.604097	-179.90184	-0.33770835	-93.53275	104.05754	183
39	0.8580825135836097	1.0099561012630345	0.15167880600048783	7.736211973932475	107	11.45089168605518	0.010778234954658392	3	235	-37.73574	-226.13196	-2.467533	-179.79475	-0.40061656	-89.30612	106.08267	81
40	0.666285569898447	1.7800886668177929	0.17360336662789744	5.376101258177679	207	5.634308681598672	3.0102146713310085	6	179	-37.61141	-225.94328	-2.5372896	-179.44058	-0.33391303	-89.173294	105.96116	36
41	0.9638772157249449	3.771276534062335	0.12481537738986093	8.852914307650522	138	0.5321627075185553	21.15327914067312	9	150	-37.88098	-226.10176	-2.3948524	-179.52193	-0.45038328	-89.26998	106.00164	63
42	0.8442466817341354	2.2641263464845776	0.012017910399377644	9.588883155141522	387	9.727073953055713	0.690024700646914	9	168	-37.97546	-226.23582	-2.414573	-179.88982	-0.53353155	-89.40984	106.09035	124
43	0.6010497415301589	4.303689294491825	0.03823603205864383	5.439848730752617	357	0.3463008041613585	38.289043468947845	8	193	-37.82785	-225.93399	-2.6461403	-179.54591	-0.32145312	-89.25507	105.93468	58
44	0.890008438451714	0.4562221573358465	0.018794514654485547	6.760643284640913	391	0.4610373155811617	27.282312835662047	7	211	-37.864735	-226.2478	-2.4722703	-179.85956	-0.37793654	-89.364456	106.12197	104
