	param_regressor__regressor__alpha	param_regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
30	0.6647910075612675	0.1041101659846105	-47.83226531535985	-3111.787121655452	-39.87930446167453	-93.51230821742328	-40.639218685311775	-666.7300436670444	1222.689553179586	13
31	0.0014353408214035335	0.008173832443006325	-179.54707100789702	-3109.0416307975556	-1185323490.171208	-376.6774117636651	-83.35690751905737	-237065447.7588458	474129021.20751697	115
32	0.05632074827094378	0.004949971540048182	-89.55464893064894	-3458.0207439260303	-29.309306545849164	-241.27732650367696	-35.72752010731872	-770.7779092027049	1345.7923178129188	62
33	0.7091830501837787	0.6193007931213138	-53.030724370560606	-3112.0661691436057	-26.521846958921024	-94.39067256440295	-43.57314614205258	-665.9165118359085	1223.2788497864985	4
34	0.32090903695819756	0.02485190175385599	-50.0060718278335	-3111.851826349342	-41.627820463772686	-94.2577014859863	-36.619385430352644	-666.8725611114576	1222.6598628949832	15
35	0.30614437330868366	0.002439678691746349	-57.999888114614954	-3113.3899322033403	-29.142907110020722	-107.59755532876932	-36.53828120481325	-668.9337127923117	1222.535143491331	22
36	0.00816721699426284	0.023324032039597556	-94.09766849968565	-3138.0641494190863	-22184604.741492238	-192.77148113845874	-34.40727114021515	-4437612.816412487	8873496.04033206	90
37	0.15545207940812658	0.02724241112942528	-59.763560224147135	-3114.45683318189	-29.331506531051613	-112.50478848398886	-36.148784227043286	-670.4410945296243	1222.356833500098	25
38	0.002537261611459781	0.010348805378385954	-162.00746689145456	-3109.373840771387	-993192168.7640035	-353.8275608108152	-71.96383406436487	-198639173.1873412	397276497.789944	109
39	0.009087273131627379	0.0077180981613993145	-110.61923505023302	-3112.8414051049604	-70362528.07620426	-237.7865351687785	-41.56142994241686	-14073206.176961908	28144660.973401427	92
40	0.003082700072440592	0.016815913076835276	-155.05028980275605	-3109.6554808663477	-849444749.3831891	-337.0555728660094	-64.47036594404263	-169889683.1229797	339777533.13200337	108
41	0.02107934421689857	0.19464516971874074	-100.4417888532785	-3471.6594462129287	-32.2142617058889	-683.2351693964217	-34.55471797811354	-864.4210768293262	1326.3054668503487	66
42	0.22528447401369647	0.034935512819033024	-53.58445467175044	-3112.111788293924	-40.06820332015859	-95.3255113369325	-36.33980251657396	-667.4859520278678	1222.4922569181062	18
43	0.0229516335919301	0.19908186616467924	-91.61039730530551	-3411.4204980399454	-33.34114504480935	-456.6336919213724	-34.65950116627001	-805.5330466955404	1312.4474903263965	63
44	0.4180870730813556	0.09859927472103723	-46.75401386469487	-3111.7155034635202	-79.33340951800014	-93.27326022684302	-39.50639222078224	-674.1165158587681	1218.962540319042	32
45	0.23163769489242636	0.5947886633510258	-51.06557085300397	-3111.936867535906	-26.42846249442396	-93.72206972000389	-41.888053268995456	-665.0082047744665	1223.6679367343104	2
46	0.0013185819320254328	0.38631950322452974	-211.456206217171	-4464.01361029677	-331760.8781206173	-280.08678596896607	-38.60834173524305	-67351.0086129671	132215.38527410117	88
47	0.006561972185260496	0.02544038671605283	-103.63615977695972	-3114.9851630382823	-184854127.2043078	-263.1269781248493	-39.890234256480014	-36971529.7685686	73941298.72690949	95
48	0.22585259705374372	0.13149447096812086	-47.272411632229534	-3111.769459009588	-91.82649955715738	-93.08918347606367	-38.368654903451485	-676.465241715698	1217.8577574133378	39
49	0.0027208814023874732	0.08832875511239692	-126.37745870672052	-3112.8031412001455	-370774880.33502287	-282.32735064014304	-47.50444373500129	-74155689.86948344	148309595.2372219	100
50	0.0016017229896728702	0.011346795536115372	-169.59580251558745	-3109.1200801332466	-1135119877.4232194	-371.54566223244706	-80.52522938026995	-227024721.6419987	454047577.8920111	114
51	0.2519391211301809	0.018346101808614387	-55.87123656036138	-3112.2183614231467	-33.29374892327032	-99.25520995746304	-36.43311956633595	-667.4143352861155	1222.6285365677936	16
52	0.059171895127924194	0.14163318332713004	-65.05385679824225	-3122.5326302552803	-46.181938290887146	-99.8535724975856	-35.133993677583234	-673.7511983039155	1224.587812293593	31
53	0.26675066475784026	0.17650056360237415	-47.40289426858627	-3111.716726031898	-80.37325556240728	-93.20841876614185	-39.64940070620283	-674.4701390670473	1218.7861108087052	34
54	0.0010497912956349033	0.01743976397115685	-180.9843895314537	-3108.9991963944626	-1206356486.660459	-380.6820183127808	-85.24412641224036	-241272048.5140379	482542219.0745212	117
55	0.023346226948924284	0.0014586765169147654	-82.75400560261562	-4035.055643907895	-2316.4094475539896	-384.2354956226462	-35.94958483042882	-1370.880835503515	1575.2227122908937	75
56	0.03976961283250623	0.0624456499064882	-102.90520639957366	-3248.817204904358	-26.84435480440243	-341.1470606985521	-34.750698033765495	-750.8929049681303	1254.1540165507008	59
57	0.28018936420158946	0.605805170769007	-51.68380823677019	-3111.9675539200534	-25.24737588227133	-93.86886030251668	-42.37723931261145	-665.0289675308446	1223.6780833000569	3
58	0.002391001440633527	0.004794552669337795	-165.40264460862537	-3109.247597924002	-1067890007.0598654	-361.3698321802497	-75.70416838763127	-213578743.7568217	427155631.653017	112
59	0.0885755294748095	0.0024624095632445444	-78.66237788418456	-3203.4346772189474	-31.345951831826177	-212.4614398490477	-35.95095796346555	-712.3710809494943	1247.2556770393926	54
60	0.004591796521596642	0.0499210249373267	-100.36441249952516	-3116.679346254546	-156720453.3092946	-257.9445835271613	-39.185178922579745	-31344793.496563166	62687829.917060755	94
61	0.0031682116785561095	0.20459620093280073	-308.2004727449966	-6583.244308807781	-1589.9213560188743	-356.43569052925784	-37.73750166304988	-1775.1078659527916	2463.143273171605	78
62	0.3401839536198578	0.001257424061085266	-56.77105070679949	-3112.9294579208517	-29.74807864517164	-107.11878386535057	-36.57247316898347	-668.6279688614313	1222.4510531145625	20
63	0.037459495598682224	0.22614530620922324	-69.55068360441643	-3125.022195830924	-45.25717345914784	-109.97814290928407	-34.6671212646187	-676.8950634136783	1224.3375025392954	40
64	0.759974637195934	0.00645990891688964	-47.109242107395154	-3111.7182551148207	-40.00888376650389	-94.0666691494092	-37.421573826286384	-666.0649247928831	1223.0001621359463	8
65	0.0031591158302996347	0.3890336393933337	-170.9068404314358	-11791.515250948485	-26.302096324929053	-718.1551328525337	-33.296955145990744	-2548.035255140675	4628.696793625469	81
66	0.48522758601658617	0.003833187463188158	-51.4847708564639	-3111.877576027815	-33.536007223248745	-97.66985071951541	-36.929130334174594	-666.2994670322436	1223.0033242117472	11
