	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
22	17	0.42614454633115	20	2.744506624473674	2.4064710145445147	0.0006940272565312464	rbf	-46.97434767117799	-3110.6187610241086	-24.076463566177203	-93.73138380836868	-38.79270412054258	-662.838732038075	1224.1119119285252	3
23	11	0.1461223535932801	5	0.8428952277794844	0.03525029578453197	0.043869509552152144	rbf	-52.54937417897228	-3111.7470668235687	-25.90325179717446	-94.33352174482991	-43.05518692183898	-665.5176802932768	1223.3221874548249	28
24	10	0.4349877460030659	1	0.13404313340691656	0.003962280465200586	0.00013060260531039573	poly	-52.55586760527924	-3111.771073703396	-25.911783450224537	-94.33806831222797	-43.11424670331228	-665.538207954888	1223.3238110198915	30
25	17	0.49738868594505203	17	1.3599809006000376	0.007258247068945441	0.00011453914398340603	poly	-52.46870700139311	-3111.745447980864	-25.656607290013323	-94.30439119262935	-43.050196192071645	-665.4450699313943	1223.3586466651598	20
26	13	0.10938995135764273	5	0.3042326590786119	0.0011023503079361629	1.4229892852506978	rbf	-52.53785453525483	-3111.7665052096795	-25.94411504650457	-94.33790731383864	-43.0877576597931	-665.5348279530141	1223.323118863846	29
27	13	0.2874772486848978	8	5.400053570063088	0.27444744583171127	2.307469215559176	poly	-253.6889584042167	-3111.409814000223	-573191.5316224226	-93.84539472119121	-39.83874071701369	-115338.06290605306	228929.65896635462	46
28	16	0.1893300644331275	14	0.7957028050207349	0.5948353610938608	0.0011728174661973744	poly	-194.61967066461716	-3111.577592235159	-36157.04751753755	-94.16517278367157	-39.679519410673024	-7919.417894526334	14166.696296014	41
29	14	0.5494053922538535	7	0.6858025338115983	0.005316393963707914	0.04027824288139338	rbf	-52.520494958805386	-3111.754279784172	-25.910993286406278	-94.32263867271944	-43.069338230559865	-665.5155489865326	1223.326732975822	27
30	15	0.20751231812349685	17	2.388220024553861	0.19665818455107262	0.7089108211798226	poly	-280.7404335889836	-3111.424059906132	-900197.6324576321	-93.82875718380699	-40.04615456068294	-180744.73437257434	359728.30098496994	47
31	11	0.9090545612280351	2	6.8773069808799265	2.052930647450518	0.00034228173228470786	rbf	-43.61676938024323	-3110.546688538035	-23.312000375371458	-93.51670269538646	-36.43930821745485	-661.4862938412982	1224.7611347258296	1
32	15	0.17087207589526981	12	0.2984501718304469	5.784455818939409	1.268501418798459	rbf	-55.46775211246829	-3109.356824859374	-38.685966892538445	-98.79888958555371	-49.82754317025515	-670.4273953240379	1219.6354113008724	33
33	8	0.4468156011104356	6	1.193580396206958	0.14192690836073354	0.036211635531716774	rbf	-52.46266944689533	-3111.7232562773675	-25.870109559910727	-94.39992306701336	-43.016722006286145	-665.4945360714946	1223.3225342528203	22
34	17	0.10143240654984023	7	0.3759757931987383	0.489189215000591	0.36328204521873175	poly	-192.7363145014345	-3111.3708991191834	-163037.3483356962	-93.77683555892914	-39.60508905330141	-33294.967494785815	64881.63189803059	43
35	19	0.9407529054226805	6	0.3502609192322518	0.011232640862723266	0.11123259100806157	rbf	-52.535152824816244	-3111.764875924564	-25.925872829168185	-94.26197678386961	-43.003541775336416	-665.4982840275509	1223.3403067712966	24
36	9	0.16132262833397398	6	1.875014734280894	1.1074878666075298	0.0008712637457049803	rbf	-47.66867439599176	-3111.1124992534396	-24.744985737988177	-93.700757263779	-38.367765740401026	-663.1189364783199	1224.2159856518663	5
37	3	0.17635738245593457	7	2.2866175637408177	0.0628622093054157	0.008878007721995892	poly	-338.198515570756	-3111.447138515305	-1950705.8947571432	-93.78076382091872	-40.36371475782645	-390857.9369779616	779924.824486632	55
38	18	0.10244329386696292	9	2.3431930693089593	1.851722814331412	0.1405241145017688	poly	-50.19141678187122	-3111.0391871652428	-451.34315808033784	-92.49425139220996	-39.13658827563238	-748.8409203390589	1190.8877266941245	40
39	10	0.13985546236862237	19	0.40517644913936973	0.08388824642450597	0.0037596638693789598	poly	-333.08517321164084	-3111.475766336714	-1862850.6361025674	-93.79983885847217	-40.35204681113309	-373285.86978555704	744783.2694380044	52
40	13	0.37063733533748344	18	0.5577822704854759	0.5236898500418199	0.00040782312296738164	rbf	-50.92791344178516	-3111.517781318055	-25.297918822061874	-93.92179758791868	-41.253523600187506	-664.5837869540017	1223.6781969442507	10
41	20	0.42949040143862105	1	0.3489851637847512	3.6380842300566707	0.0010412236544878684	rbf	-50.07594165328011	-3110.358847876501	-24.60329647332996	-94.07135344144204	-41.04541790524543	-664.0309714699597	1223.3800370454048	8
42	19	0.3525575266895634	20	1.302072755178872	0.020494833628720566	0.0001500951577359908	rbf	-48.75918689884297	-3111.570587038758	-24.481252740668587	-93.78844542212875	-39.934783483147285	-663.7068511167091	1224.1491287010556	6
43	19	0.3965164666841566	14	2.83120582546896	7.6178422551754865	0.007741576063203932	poly	-113.79847300582553	-3109.359236910949	-109.8962375613846	-145.54763709303097	-119.27271285273274	-719.5748594847846	1194.9570990068157	39
44	18	0.22639321164061638	7	5.663231474192114	0.02037861131737699	2.785755421670936	rbf	-52.09758612335937	-3111.5077539601493	-25.52506389889234	-94.24188753037834	-42.70097343950923	-665.2146529904577	1223.3559109313162	16
45	7	0.2133288262689723	16	0.30918520586425446	7.475716181640171	0.010625226607883525	rbf	-111.60871363150234	-3109.3591870459995	-112.16855819028972	-146.19102654198966	-114.93599414886555	-718.8526959117294	1195.3232994773346	38
46	15	0.7935527095486591	15	7.19295016645839	2.22002084130384	0.011701589284496704	rbf	-51.061449737068585	-3110.9351732097757	-25.011274325912538	-94.1739059625097	-42.14061056721105	-664.6644827604954	1223.3479202429064	11
47	19	0.19704812264667843	3	7.276279205743471	0.02709581246623966	0.454052837975858	rbf	-52.12475393456881	-3111.5011143339207	-25.46704369773115	-94.24567051972784	-42.72217058029243	-665.2121506132482	1223.3540900689352	15
48	10	0.12376042815184772	17	0.3567402177205782	2.347895789871337	8.980929660399152	rbf	-51.716851388125974	-3111.2698170471	-25.30684884622157	-94.21181455327064	-42.500435193047906	-665.0011534055532	1223.3449576161058	12
49	3	0.15732760281636457	17	0.26889065088923503	1.1279459549853714	4.905396367477529	rbf	-52.34698856333551	-3111.6674708271726	-25.807406389320327	-94.30230539144397	-42.9470020473632	-665.4142346437271	1223.3345846410684	19
50	5	0.10130758296591237	18	0.12460814342245716	0.036123649197399736	0.049577372167979424	rbf	-52.548851437342904	-3111.770947324058	-25.964206106539272	-94.33770997287738	-43.10816832544313	-665.5459766332522	1223.319633867776	32
51	12	0.32836755200179	7	0.6269091115416348	2.177282974880255	2.214582845744781	poly	-44.93392581789337	-3110.930088038862	-197.54493969910388	-93.55527987575637	-39.179498490890296	-697.2287463845012	1208.1868293542786	37
52	14	0.521959054087306	5	0.9372255337076547	0.1047643369754186	1.4600477645439967	rbf	-52.48984725898824	-3111.7388371149905	-25.893826454279314	-94.31550811263496	-43.08497877469203	-665.5045995431171	1223.324497843872	25
53	11	0.46194551566052056	18	0.12890099396076743	0.03896930461494585	0.25817724668722924	rbf	-52.54040978475792	-3111.770714796528	-25.931753823323366	-94.3302651116121	-43.14848951363521	-665.5443266059713	1223.3203725646322	31
54	17	0.23511583445392054	15	2.3360441406204457	0.0028398975840475786	0.1682795801476952	rbf	-52.36163101960264	-3111.664313788909	-25.77977835870628	-94.20914394477113	-42.95628004870101	-665.394229432138	1223.3424983276877	18
55	3	0.11270855844205549	12	1.3262838073794396	0.3858762362592172	0.7545266276932825	rbf	-52.40934892769126	-3111.687482518211	-25.847765381363207	-94.31486742875867	-42.97209574101793	-665.4463119994083	1223.3283909198842	21
56	20	0.28102273619802826	7	2.064680092313432	0.9182065469928999	0.00035451929964849224	poly	-46.44871065236826	-3111.677369919795	-90.99191334873524	-93.85393311515095	-41.22821462412369	-676.8400283320346	1217.614000590239	34
57	3	0.561358249167479	3	1.2373052560063158	0.013615089255167393	0.5049328828870728	rbf	-52.48716499466023	-3111.733440347777	-25.89718547491482	-94.31743947105484	-43.03976719434804	-665.494999496551	1223.326677519726	23
58	19	0.32549700994546593	1	1.664306880674488	0.058429712881756524	0.0002026709000494827	rbf	-46.642138006352816	-3111.501978908912	-24.468031882678858	-93.55766207868015	-38.96618034218017	-663.0271982437608	1224.4561902873718	4
59	5	0.26434722624352464	14	0.9868648116204308	0.004398484445996326	0.4679542412783794	poly	-367.39393049645093	-3111.4567669631147	-2731233.851132763	-93.7823631570586	-40.549472272140555	-546969.4067331303	1092132.8231167165	59
