	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
14	0.9504300439372034	1.414054898184878	0.02033591675071055	4.353336460002105	382	0.0012771805314591635	8	-40.741207	-3111.6226	-25.797636	-93.067986	-31.51687	-660.5492	1370.4514	9
15	0.9187043827727609	3.614486938148627	0.01553972771509569	6.928734330587309	283	0.00963980448334129	10	-46.338238	-3111.8027	-27.169281	-92.999146	-35.957047	-662.8532	1369.2397	221
16	0.9251318200654826	2.195753681834998	0.060315456101352645	7.553451548324205	297	0.10742897341137396	6	-46.879852	-3111.5889	-25.801517	-92.97844	-37.44128	-662.938	1369.0746	233
17	0.756800623128224	4.704004508047905	0.01892402243389382	8.319666433855419	388	0.20597417877308574	2	-47.88673	-3111.7292	-25.835785	-93.3148	-36.684265	-663.09015	1369.0718	250
18	0.674399555111372	4.080380318530725	0.05697704255819057	5.022392862977577	95	0.0007876160322236518	2	-43.11336	-3111.7676	-26.841187	-93.02843	-35.34172	-662.01843	1369.6931	91
19	0.9427902504447041	0.2650036020639561	0.049315889211650206	8.17256221699208	319	0.00891681843951797	3	-47.199364	-3111.5215	-27.973398	-93.01334	-38.61709	-663.665	1368.6182	282
20	0.6676404253461533	4.395834557890013	0.15236094472959757	2.7777960052044115	305	0.7080728662643101	6	-42.29836	-3111.9033	-25.998913	-93.08604	-33.527042	-661.36273	1370.1453	36
21	0.9231341837184278	2.793599191923565	0.01637952540072285	1.3197592434732703	304	0.1704054128495447	9	-46.527508	-3111.8118	-24.74084	-93.19188	-35.673832	-662.38916	1369.5172	148
22	0.855390809063961	4.328154748020688	0.06733955132809935	9.993673542206833	94	0.012556810699202297	10	-48.082275	-3111.8057	-25.00693	-93.42168	-35.542904	-662.77185	1369.2999	207
23	0.6395092947097226	2.8771553826287035	0.0190542553567716	1.1061170795046733	61	0.5789560193199013	10	-49.09187	-3111.9338	-25.402487	-93.7063	-40.436275	-664.11414	1368.6094	289
24	0.9904855288314907	2.8021201107788203	0.012396667162288523	4.060610363926861	273	0.12059306633756241	4	-46.691166	-3111.6711	-25.767773	-92.83727	-35.11727	-662.4169	1369.4171	152
25	0.9490508732576748	0.21712482809742123	0.022560749749812765	3.494976244248657	127	0.006331429539178653	9	-45.89569	-3111.7124	-25.176998	-92.73846	-36.9712	-662.49896	1369.392	171
