	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
37	0.050374092765253946	0.06503283733939594	0.00011839580168259654	1	2	LeakyReLU	233	-3.816177288418121	-4.0218114444569775	0.7897864028967285	60
38	0.0536793228441009	0.293952425431202	0.004340002555607567	2	2	LeakyReLU	210	-2.912979252296009	-3.0748377052490268	1.2259464412776395	11
39	0.07775020212502136	0.1454743322705116	0.00015268968682166715	2	3	LeakyReLU	287	-3.792283288702703	-3.990972987372932	0.8080879291509748	49
40	0.1924525253691437	0.2682116614932516	0.002245790629128002	4	3	Tanh	387	-3.0307420462744212	-3.090484408447023	1.231191978753901	15
41	0.08397418924314182	0.12541543755448914	0.0018101009909316918	4	4	GEGLU	153	-2.9922566811520586	-3.076003942175813	1.2341885418127967	12
42	0.16901791620590528	0.06222686051337628	0.00015321538549715953	3	4	LeakyReLU	146	-3.206995732117404	-3.6220347048381036	0.9110774342854292	36
43	0.08131355775190452	0.2464304669754601	0.0002552804814999663	1	2	Tanh	390	-3.8174265783566317	-4.01669295686292	0.7929239088605823	57
44	0.18612640573748304	0.055572485040464345	0.0014875180634852602	2	1	Tanh	210	-2.657653470282267	-3.2096165221536	1.170681197485289	24
45	0.09146051664270778	0.2921594316960177	0.00017038372204956255	4	2	LeakyReLU	231	-3.8044237449641485	-3.7446310161737784	0.962922034338024	38
46	0.09717773467812904	0.09555303970117462	0.005663231474192113	2	6	LeakyReLU	318	-2.75914968863575	-3.1023927758220786	1.2259626412018156	17
47	0.1585221871096959	0.09016133183540626	0.00013154226294258772	4	3	Tanh	224	-3.785196873711097	-3.9798021280324094	0.8016759096993413	46
48	0.2526470987902411	0.14628942814870796	0.00027750624948811724	2	1	Tanh	340	-3.124119894050505	-3.87113207919963	0.8804690091845024	40
49	0.12928555034491396	0.054021015475154595	0.007276279205743476	3	6	LeakyReLU	154	-2.587932546608323	-2.936483636690369	1.2509978415131784	3
50	0.2427468393464612	0.08143835907086547	0.0003567402177205784	1	3	LeakyReLU	399	-3.8118116431242983	-4.011411965690192	0.7968389215492919	54
51	0.1727657137931548	0.07114002330625877	0.00013671782122469321	5	2	LeakyReLU	99	-3.4547738530875263	-3.773551968592583	0.8878122115854447	39
52	0.10078831044764154	0.2548315776529302	0.00029663564299463844	3	6	LeakyReLU	451	-3.5485869280421594	-3.957198372661554	0.8125814770305111	45
53	0.05446842149523818	0.10046606163025128	0.001197053060554653	5	2	GEGLU	223	-2.709142271764296	-2.943035115458668	1.2838347589274117	4
54	0.23782300466147496	0.19178926479270852	0.00016541948578448982	4	1	GEGLU	456	-3.830930954844782	-4.01826717702409	0.7898885639757306	58
55	0.08537091961763082	0.11942379277155181	0.0010235445128347802	3	3	LeakyReLU	216	-3.808590353720151	-3.7367434170957194	1.050506305721912	37
56	0.07960779136094968	0.05519097038698975	0.0006242539916968565	6	6	Tanh	224	-2.930251180441916	-3.0916976405349823	1.2725002838294412	16
57	0.09724862342762067	0.12934284386292394	0.0023360441406204465	5	1	LeakyReLU	172	-2.5109412985002275	-3.018248593530392	1.2874986025973327	9
58	0.053622085396877156	0.2070282885674118	0.00012703219146086256	4	3	GEGLU	382	-3.552050487034699	-3.9467862392529036	0.8275111520835503	44
59	0.1673133429617955	0.06728534786982912	0.0004850097579016245	3	4	LeakyReLU	215	-2.78509027947074	-3.056615583693838	1.202873417365307	10
