	param_regressor__regressor__classifier__C	param_regressor__regressor__classifier__gamma	param_regressor__regressor__classifier__kernel	param_regressor__regressor__regressor__alpha	param_regressor__regressor__regressor__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
14	0.41467262860200493	0.09182764288931225	rbf	0.3680043104787763	0.0026565132692193357	-47.936979742616245	-3112.135443329195	-886.7963557099015	-94.50902694151934	-35.0481337700069	-835.2851878986478	1182.8564029832876	27
15	0.7866991745594025	0.1977728179044527	poly	0.30614437330868366	0.002439678691746349	-48.00795815908829	-3111.64489687571	-886.7585164116771	-94.20734791169181	-35.613322786520115	-835.2464084289375	1182.619119913182	26
16	0.4144453913207415	0.020652944157466043	rbf	0.22915507213224862	0.015443764327303062	-46.87508621988343	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-664.7819056563702	1223.8842901476776	4
17	2.3168819288109614	0.032330873999382885	poly	0.0077180981613993145	0.003082700072440592	-145.5218999407694	-3111.7729319496916	-1009276.9585164986	-93.12603936255255	-32.5316449046399	-202531.98220653125	403374.1870640587	39
18	0.6757772157031918	0.01740216521544932	rbf	0.3669343776726532	0.022754392285271194	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
19	0.16596291809140312	0.9885776100364609	rbf	0.4180870730813556	0.09859927472103723	-42.379219744352454	-3111.270323113124	-26.678319286776066	-91.70909828381926	-43.71165250447696	-663.1497225865098	1224.2544056617014	2
20	3.98986405128553	4.960857688467744	poly	0.01261043018402481	0.013805528493177906	-134.98026396463945	-3111.783735123052	-8015964.7878722185	-93.27536835009468	-31.229811834562398	-1603867.2114102982	3206049.0025049634	56
21	0.2925373146192959	0.0007566532977271004	poly	0.13149447096812086	0.0027208814023874732	-52.78741865518462	-3111.964120778941	-1689.6866310436494	-93.64477524062198	-36.553578033235624	-996.9273047503266	1231.4977356799732	31
22	2.0772870702076363	0.0002219526578729756	rbf	0.02497592481363183	0.025177017176222404	-47.515381792150436	-3111.7038273065364	-14100051.334845107	-93.57650298029127	-36.66397448120663	-2820668.1589063336	5639691.711910968	59
23	7.71177605217299	0.4886482939545443	poly	0.26675066475784026	0.17650056360237415	-42.85787787450516	-3111.813186892578	-5926.1851073842445	-93.57537969775784	-30.59548746699339	-1841.0054078632154	2360.850520953334	33
24	0.10334430538642785	0.012626534460760563	poly	0.5967396064462919	0.0042561125959215225	-45.83237462285421	-3111.670427168532	-671.9271843766218	-93.27421946779221	-34.994854644446924	-791.5398120560495	1184.341837857917	24
25	4.232456866528223	0.010429005146226399	rbf	0.605805170769007	0.002391001440633527	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
26	0.2889757162366467	0.19760229548803449	poly	0.22789039383421245	0.04054254859580731	-44.82340845417288	-3111.709348284322	-1641.868790126712	-95.02502137520133	-33.54212855618441	-985.3937393593185	1227.6504430309449	30
27	0.6868045782671451	0.0001246761305190476	rbf	0.3401839536198578	0.001257424061085266	-47.929104988223614	-3111.2600805307843	-753.6088412932836	-94.64108449560513	-35.3785150596099	-808.5635252735012	1182.497059249922	25
28	1.1622233857855866	0.9655100244446035	poly	0.02756438230939599	0.0059849260859741555	-43.66232541088624	-3111.772897384337	-4462615.019495807	-93.08071352525468	-33.7934128638532	-893179.4657689983	1784718.1691637237	54
29	1.1338917149486265	8.362356196246699	poly	0.003833187463188158	0.02015514537941078	-117.02236291320607	-3111.848387006459	-1091111.488190818	-92.16262960686102	-32.497252417272115	-218893.00376455238	436110.8233055627	41
30	2.744506624473674	1.6854885004708946	rbf	0.0030700675235372753	0.014350321616586418	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
31	7.746577286361522	0.0052114179718890895	poly	0.0012733878611488098	0.006787645817233583	-106.03127330252269	-3111.920950365184	-1309057.7687491612	-91.42976269067486	-32.40269389979224	-262479.91068588383	523290.2500636053	50
32	4.128019050943744	0.00016742923936307566	poly	0.07695130009352391	0.35414617019075423	-45.311204439743676	-3112.014038588024	-67.01901520042533	-105.88591293567372	-28.015672314597687	-671.6491686956929	1220.459725301949	21
33	1.8760874166799248	9.919397662931305	rbf	0.03549356703742122	0.11434275458061949	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
34	0.7146723599487025	0.0004708171707493306	poly	0.0010835097982519865	0.0076551662874224	-46.0570974546611	-3112.059721073948	-1320942.1047134711	-94.03700851741064	-32.423096175496944	-264845.33632733853	528049.7097933735	51
35	0.11966161458027441	7.60447279236148	rbf	0.0010746217116970103	0.2843891093429288	-53.16842413544706	-3112.135443329195	-1200099.8610896366	-125.5328991478135	-43.71165250447696	-240686.88190175072	479707.93340793205	44
36	7.132238797440274	0.01963438935158265	poly	0.18868759941060792	0.010858304235750078	-48.263080677466775	-3111.730198530627	-1217.3258521595192	-92.84708829061505	-34.80223401216489	-900.9936907340787	1193.1437471925196	28
37	0.23729329918354572	3.658166194659615	rbf	0.006343926535034041	0.006591342447860372	-147.55243343306154	-3110.1946905862956	-719753.509685277	-107.78948218536648	-43.71165250447696	-144632.55158879724	287562.8447560145	35
38	0.17428694468009465	3.577398095438774	poly	0.004283050497886854	0.009048581102939301	-115.4704263772666	-3111.837503990915	-1035623.43484113	-92.28164491757536	-32.543676590582585	-207795.1136186013	413915.82695383055	40
39	3.018462850376107	0.000818186978964084	poly	0.0034348854798818473	0.034610032884275714	-117.75466168654593	-3111.9144945204775	-1094191.9409147943	-92.03863100898306	-32.44872721471624	-219509.219485845	437342.9372399814	42
40	1.1748529774355074	0.003847861305413605	rbf	0.10853826911159514	0.0494362355259857	-53.165389318936704	-3112.135472247655	-26.67380236204261	-94.5076163158276	-43.711156269786	-666.0386873028497	1223.2522174743558	5
41	3.4692583502573573	0.009230840780093143	rbf	0.004068351294377537	0.5177138549606727	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
42	4.5309277719364704	0.00034228173228470786	rbf	0.0023875642635530227	0.27742241604280904	-116.18803795929959	-3109.900136105792	-937045.6720785579	-92.22643747512477	-32.15652977245285	-188079.22864397411	374485.06107530365	38
43	0.2984501718304469	5.044616260229264	rbf	0.5316103824008387	0.013490581406570225	-44.622357453132686	-3111.3573265015693	-26.678319286776066	-92.19243305057128	-43.71165250447696	-663.7124177593053	1224.0168778670154	3
44	1.9964418139567994	0.09508358877486651	rbf	0.03885351246520799	0.032500615847465976	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
45	0.30505052766023355	0.00010737017170640689	rbf	0.007072629202458361	0.09690400511162188	-211.7144512143496	-3111.6449800884093	-1888372.7517356281	-95.78980008853628	-45.29287896122216	-378367.43876919616	755003.5489027059	53
46	2.6552020430099024	0.19153644951142706	poly	0.0027127976775577424	0.0012832953223942435	-110.3770970901803	-3111.9165149472365	-1227397.5893338444	-91.64043320089566	-32.46151248213546	-246148.79697831292	490625.8037837792	46
47	0.3502609192322518	0.002056375125852641	poly	0.0013094002439743957	0.8330394668921454	-146.51797355067376	-3111.7534520114127	-680599.5376224843	-92.21418359262631	-32.553905975718784	-136796.51542752294	271904.03141058865	34
48	4.340002555607569	0.1522340187129128	rbf	0.0035174430619813036	0.24773708830923935	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
49	0.1520784616778988	0.0004449879027973431	rbf	0.0018685693509252047	0.44243460729674877	-142.75140487825772	-3109.8595113304013	-853656.7069552775	-100.97943535134073	-64.12732996361478	-171414.88492736022	341122.90024849767	37
50	0.840527417170035	0.016751813325038837	rbf	0.0059236683803447964	0.1668354842501803	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
51	7.498536250614158	0.2390139027657896	rbf	0.2090851956345935	0.0026938435822354517	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
52	4.5139075289538555	0.08008051419225115	poly	0.008524608406582541	0.0012951701566833815	-152.23808623505587	-3111.7692960603626	-1579034.9749696122	-93.30241943006057	-32.55361568914608	-316484.96767740534	631276.0876824193	52
53	1.373720343460702	8.488298606711847	rbf	0.01755842727741915	0.43269437455591453	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
54	4.687455116635608	0.00031386115658483686	poly	0.006757535525455856	0.006335657685612054	-48.83748866591962	-3112.0609964420983	-728277.0076901404	-94.06828314825559	-32.52624281339434	-146312.900140242	290984.4578008959	36
55	6.031653363760778	0.0010412236544878684	rbf	0.44170327203161774	0.001476185381282268	-47.93519811066384	-3111.610592171563	-25.421143264559703	-92.26793249117628	-35.466648115146754	-662.540302830622	1224.7479320396756	1
56	1.302072755178872	0.0043606928371733855	poly	0.0014935513622043879	0.05393477945793127	-113.40260077406138	-3111.920918056807	-1266722.2455229606	-91.44324117504664	-32.39106921684451	-254014.28067043665	506355.3455238984	48
57	1.4641583530836466	0.13813015587977903	rbf	0.0099010441121905	0.8139126286884011	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
58	0.1703837220495624	0.0001832351182961186	rbf	0.00317158229877566	0.011177702403197572	-147.22625535112218	-3109.1328243966796	-1190954.9156191554	-94.43073955449127	-57.154606627519634	-238872.57200901705	476042.5996300579	43
59	1.6207913365729714	0.06529113366073787	rbf	0.42294890343987895	0.07989078045521733	-53.16842413544706	-3112.135443329195	-26.678319286776066	-94.50902694151934	-43.71165250447696	-666.0405732394829	1223.2512473243612	6
