	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
47	13	0.14618329436079053	9	747	-2.5664553638679055	-2.6311653753444753	-5.2636510386210205	-3.1229744782251734	-2.8816200566048646	-3.2931732625326875	1.0047387402192078	41
48	4	0.10852475269098574	13	754	-2.598390841202072	-2.653885210768816	-5.269674038959942	-3.2006893764381337	-2.9516301553832345	-3.3348539245504396	0.9914116925508678	53
49	6	0.3376234130253512	8	741	-2.5382713886057147	-2.5707684045468566	-5.265882891932068	-3.0401032806403703	-2.902946113101339	-3.2635944157652697	1.0193405714512562	20
50	3	0.1157769983230333	13	676	-2.658116266411569	-2.675757251488429	-5.253807287525409	-3.144374944854058	-2.9597584087464726	-3.3383628318051874	0.974851949496891	56
51	3	0.3294428428224735	15	940	-2.5980542872354415	-2.6180522007522926	-5.252583730747446	-3.0719237638822667	-2.906954764875394	-3.2895137494985685	0.9976289219178487	36
52	5	0.26733356690634685	12	505	-2.606382142949769	-2.676371917278811	-5.24827031345774	-3.071508111796828	-2.8759894945754234	-3.2957043960117147	0.9897147187038412	44
53	8	0.10275211894245509	12	862	-2.582735575874235	-2.6669362888453723	-5.252306012019855	-3.196434199036938	-3.009158723273096	-3.3415141598098996	0.9811660488541022	57
54	3	0.9830095095329656	6	912	-2.5660835782371434	-2.639281964312109	-5.252081657218739	-2.9911107105847066	-2.803347100084333	-3.250381002087406	1.0114910681372522	12
55	14	0.11795496076270207	15	990	-2.66815001439416	-2.679631791289669	-5.262620295952845	-3.204395487272982	-2.969237132246945	-3.3568069442313204	0.9734863838542472	60
56	7	0.12804152102694297	8	592	-2.5663256465502116	-2.64174935217543	-5.254642151474143	-3.10937238666747	-2.8619777091804615	-3.2868134492095438	1.001951186555693	32
57	13	0.15404327287601552	15	547	-2.593342588624784	-2.721762967338811	-5.2539719362609985	-3.163429246161686	-2.905357208997625	-3.3275727894767813	0.9820715147466961	51
58	6	0.35183288999717616	4	891	-2.555379539274227	-2.55584077273474	-5.251455542890804	-3.0650170662071883	-2.837093572997229	-3.2529572988208377	1.0173343189530102	13
59	4	0.16362365325910813	2	831	-2.5506615474405043	-2.553810116358391	-5.242908476771464	-3.075204483791569	-2.8625544041653135	-3.257027805705448	1.0125077218524197	16
