	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
44	relu	0.005602502696767531	68	adaptive	0.0026937929467599365	0.609461472878969	0.6081900051310646	-3.152028291745485	-4.119808402847672	-8.405510946299373	-15.774876321475109	-2.638433699904678	-6.818131532454464	4.918011493965348	56
45	relu	0.00014381534509596758	48	invscaling	0.0005517594735132457	0.6626592853828415	0.7135725095427005	-4.153399071228705	-4.059702246565895	-5.981829423167569	-6.299692717293114	-4.229352713606978	-4.944795234372452	0.9831319934349536	51
46	tanh	0.0074540271129862655	32	adaptive	0.0007303971788184183	0.5809628749399609	0.5319353399543206	-2.4589971669921247	-2.1329357030681924	-5.980736427358418	-3.17715656064034	-3.23240404500458	-3.396445980612731	1.3585892108441224	15
47	tanh	0.08039695561216254	66	adaptive	0.00020896181071071446	0.6341059621403841	0.7297030452029273	-2.9700742430719336	-3.1636020411650714	-5.336986015989105	-3.4129358421552833	-3.348565283810427	-3.646432685238364	0.8592790584928335	34
48	relu	0.06100431813081222	108	adaptive	0.00837119438900439	0.738592423741203	0.13021895491826502	-2.2824457193100756	-2.9182653312508036	-5.489978048234165	-82.4868083671832	-2.722574043751968	-19.18001430194604	31.67329130636446	59
49	tanh	0.014183563564750916	88	constant	0.0011153624762902383	0.5416618114152307	0.17424145261439103	-2.5388685816937935	-2.590620774054624	-5.434089507660274	-2.900124835151918	-2.6361793769710666	-3.219976615106335	1.1140392457371466	7
50	tanh	0.033729438603352195	92	invscaling	0.0024211277565102276	0.5885622164368087	0.1475387950532455	-2.6648012988733414	-2.981702445490428	-5.505229797938258	-2.9308669724623617	-3.2823948006586123	-3.4729990630846004	1.0348676186601629	24
51	relu	0.0033500788393802	51	constant	0.00026889065088923507	0.8433824327514877	0.7566943747198444	-2.8745155110465284	-2.806624764936149	-2.429572146386665	-3.031860203839239	-4.336988852462193	-3.0959122957341547	0.6513196905535253	1
52	relu	0.012460155701396131	99	constant	0.0001058220977988497	0.5296851886455085	0.6973384773533022	-3.311947848464291	-3.427363825960998	-5.764351521844496	-4.003929167582056	-3.996684987776845	-4.100855470325738	0.8790257723043998	44
53	tanh	0.047336954414223927	61	invscaling	0.0007398131037706061	0.891669017639126	0.6252166629459028	-3.1373354291293323	-3.2185387449910037	-5.49134087929217	-3.317161005955139	-4.041758176614584	-3.8412268471964452	0.8855436454529071	39
54	relu	0.0412776269768754	31	invscaling	0.00018695672711948266	0.7122822438826034	0.33780919427825024	-3.663328621858428	-4.517047656303713	-8.874902968164838	-4.319509720679121	-3.992719609014049	-5.07350171520403	1.9227831207779333	52
55	tanh	0.03152246986457187	28	adaptive	0.0003304777203964292	0.5248076599014337	0.3783764648217113	-2.773378479801242	-2.799137310896018	-5.370641963231303	-3.3833572939042664	-3.232530750344553	-3.511809159635477	0.9594724317390244	28
56	tanh	0.00269080285730632	66	constant	0.0011505495356132988	0.8079082350598366	0.17932796869489476	-2.6093784720353774	-2.4957834934313547	-5.373945385043242	-3.033730574801885	-2.5624280754290854	-3.2150532001481884	1.0957922888169167	5
57	relu	0.0037403243316962683	41	constant	0.00012703219146086256	0.8721245877637953	0.10615937749019566	-4.950755375692016	-3.504061690962713	-5.492857591749448	-3.2657300848075685	-3.3873901169101788	-4.120158972024385	0.9187781739297286	45
58	tanh	0.02121312946688234	72	invscaling	0.000789737782602266	0.7512182024777313	0.1288205218329911	-2.9185129202221534	-2.900188364545102	-5.4267016764609455	-3.0336932566228643	-3.0602639277205124	-3.4678720291143157	0.9813999522793638	23
59	relu	0.01668035498091473	88	invscaling	0.0065976014746371905	0.8371580490465409	0.6898308789906419	-3.38080512804591	-3.533551835388855	-18.54687765408622	-3.5120232719955453	-3.4216220300685727	-6.478975983917022	6.03421342648179	55
